WFOID,description,type,language,contributor,audience,rightsHolder,created,creator,source,rights,license
wfo-0000458860,<i>Thouinia discolor</i> grows in Pine Woodlands and Dry Broadleaf Evergreen Formations – Forest/Woodlands/Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000458860.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000492128,<i>Suriana maritima</i> grows in Dunes and Rocky Shores.,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000492128.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000505130,<i>Swietenia mahagoni</i> occurs in Dry Broadleaf Evergreen Formations (coppice) and Pine Woodlands. Typically on a limestone substrate.,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000505130.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000574692,<i>Tillandsia balbisiana</i> grows on shrubs and trees in Dry Broadleaf Evergreen Formations - Forest (coppice).,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000574692.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576355,<i>Tillandsia circinnata</i> grow on shrubs and trees in wetlands and Dry Broadleaf Evergreen Formation – Shrublands (scrublands).,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000576355.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000578417,<i>Tillandsia fasciculata</i> as an epiphyte or lithophyte in Dry Broadleaf Evergreen Formation- Forest/Shrublands (coppice) with a limestone substrate.,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000578417.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000578510,<i>Tillandsia flexuosa</i> grow on shrubs and trees in wetlands and Dry Broadleaf Evergreen Formation – Forests and Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000578510.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000586439,<i>Tillandsia utriculata</i> as an epiphyte or lithophyte in Dry Broadleaf Evergreen Formation- Forest/Shrublands (coppice) with a limestone substrate.,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000586439.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000780134,<i>Tabebuia bahamensis</i> occurs in Dry Broadleaf Evergreen Formations - Forest/Shrublands (coppice) and Pine Woodlands on both a limestone or sand substrate with good drainage.,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0000780134.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001040722,<i>Miconia bicolor</i> grows in Dry Broadleaf Evergreen Formation – Forests/Shrubalnds (coppice/scrubland) and Pine Woodlands.,habitat,EN,Ethan Freid,,,2012-11-05,Ethan Freid,ref-0001040722.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000270937,<i>Phyllanthus epiphyllanthus</i> grows in open rocky areas and in Dry Broadleaf Evergreen Formation-Forest/Shrublands (coppice/shrubland).,habitat,EN,Ethan Freid,,,2012-11-09,Ethan Freid,ref-0000270937.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000532633,<i>Amyris elemifera</i> grows in Dry Broadleaf Evergreen Formation – Forest/Woodland/Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2012-12-12,Ethan Freid,ref-0000532633.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001277421,"<i>Vachellia choriophylla</i> grows in Dry Broadleaf Evergreen Formations- Forest/Shrublands (coppice), Pine Woodlands, as well as sand dunes and in Human Altered areas.",habitat,EN,Ethan Freid,,,2013-01-14,Ethan Freid,ref-0001277421.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000179164,<i>Centrosema virginianum</i> grows in Human Altered environments such as abandoned fields and along the edges of Dry Broadleaf Evergreen Formation-Forest/Shrublands (coppice).,habitat,EN,Ethan Freid,,,2013-04-16,Ethan Freid,ref-0000179164.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000352910,<i>Catopsis floribunda</i> grows as an epiphyte on trees and shrubs in very wet Dry Broadleaf Evergreen Formation - Forest (coppice).,habitat,EN,Ethan Freid,,,2013-04-16,Ethan Freid,ref-0000352910.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001218673,<i>Catopsis berteroniana</i> grows as an epiphyte on trees and shrubs in Mangrove and Fresh Water Wetlands as well as very wet Dry Evergreen Foresmation - Forests (coppice).,habitat,EN,Ethan Freid,,,2013-04-16,Ethan Freid,ref-0001218673.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000063804,<i>Iva imbricata</i> grows in sandy dune areas along shorelines.,habitat,EN,Ethan Freid,,,2013-04-23,Ethan Freid,ref-0000063804.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000612436,"<i>Clusia rosea</i> grows in and around sinkholes and wet areas in Dry Broadleaf Evergreen Formations – Forests (coppice). It is known to grow in the canopy of other trees and over time take them over and kill as a type of ""strangler"" similar to <i>Ficus</i>. ",habitat,EN,Ethan Freid,,,2013-04-23,Ethan Freid,ref-0000612436.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000962575,"<i>Euphorbia hirta</i> grows in Human Altered environments (roadsides, fields and yards). ",habitat,EN,Ethan Freid,,,2013-04-23,Ethan Freid,ref-0000962575.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001249857,"<i>Malpighia polytricha</i> grows in Dry Broadleaf Evergreen Formation- Forests/Woodlands/Shrublands (coppice, scrublands).",habitat,EN,Ethan Freid,,,2013-04-26,Ethan Freid,ref-0001249857.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001294624,<i>Salicornia virginica</i> grows in saline areas along the coast or edges of Mangrove flats.,habitat,EN,Ethan Freid,,,2013-04-26,Ethan Freid,ref-0001294624.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000223194,<i>Lantana involucrata</i> grows in a broad range of habitats including Human Altered environments and coastal sand substrate Dry Broadleaf Evergreen Formation – Shrublands (coppice).,habitat,EN,Ethan Freid,,,2013-05-03,Ethan Freid,ref-0000223194.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754171,<i>Agave bahamana</i> grows in a sand substrate on beach dunes and on limestone in Dry Broadleaf Evergreen Formation – Woodland (Scrubland).,habitat,EN,Ethan Freid,,,2014-01-07,Ethan Freid,ref-0000754171.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754811,<i>Agave sisalana</i> occurs as a naturalized escapee from past cultivation along roads and in old fields.,habitat,EN,Ethan Freid,,,2014-01-07,Ethan Freid,ref-0000754811.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000931547,<i>Croton lucidus</i> grows on a limestone substrate in Dry Broadleaf Evergreen Formations - Shrublands (scrubland coppice). ,habitat,EN,Ethan Freid,,,2014-01-07,Ethan Freid,ref-0000931547.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001434109,<i>Selenicereus undatus</i> grows climbing/trailing along trees in on along the edges of Dry Broadleaf Evergreen Formation – Woodlands (Scrublands) primarily in previously Human Altered areas.,habitat,EN,Ethan Freid,,,2014-01-07,Ethan Freid,ref-0001434109.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000132933,"<i>Koanophyllon villosum</i> is considered a weedy species growing in Human Altered environments, the edges of Dry Broadleaf Evergreen Formations (coppice), and roadsides in Pine Woodlands.",habitat,EN,Ethan Freid,,,2014-02-15,Ethan Freid,ref-0000132933.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000588009,"<i>Carica papaya</i> grows as a cultivated species but is prone to escape along roadsides, other Human Altered environments, and the edges of natural areas",habitat,EN,Ethan Freid,,,2014-02-26,Ethan Freid,ref-0000588009.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000646036,"<i>Dicliptera sexangularis</i> grows in Human Altered environments (yards, gardens).",habitat,EN,Ethan Freid,,,2014-10-15,Ethan Freid,ref-0000646036.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000235813,<i>Manilkara bahamensis</i> grows in Dry Broadleaf Evergreen Formation- Shrublands (scrublands) on both limestone and sand substrate in coastal areas.,habitat,EN,Ethan Freid,,,2014-11-18,Ethan Freid,ref-0000235813.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000375822,<i>Morisonia flexuosa</i> grows in Dry Broadleaf Evergreen Formation – shrublands/Dwarf Shrublands (scrubland)near in coastal areas.,habitat,EN,Ethan Freid,,,2014-11-18,Ethan Freid,ref-0000375822.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000401516,<i>Rochefortia spinosa</i> grows as an understory shrub in Dry Broadleaf Evergreen Formation – Forest/Shrubland (coppice) on a limestone substrate.,habitat,EN,Ethan Freid,,,2014-11-18,Ethan Freid,ref-0000401516.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000960055,<i>Eulophia maculata</i> grows in leaf detrius along the floor of Dry Broadleaf Evergreen Formation – Forests (coppice).,habitat,EN,Ethan Freid,,,2014-11-18,Ethan Freid,ref-0000960055.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001140621,"<i>Helicteres semitriloba</i> grows in Dry Broadleaf Evergreen Formation - Forest/Woodland/Shrubland (coppice, scrublands).",habitat,EN,Ethan Freid,,,2014-11-18,Ethan Freid,ref-0001140621.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001296365,<i>Terminalia buceras</i> grows in Dry Broadleaf Evergreen Formation- Forest/Shrubland (coppice).,habitat,EN,Ethan Freid,,,2014-11-18,Ethan Freid,ref-0001296365.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000137991,<i>Baccharis dioica</i> grows in coastal areas of Dry Broadleaf Evergreen Formation – Shrublands (coastal scrublands) as well as the edges of Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2014-11-19,Ethan Freid,ref-0000137991.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000537770,<i>Annona glabra</i> grows in Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2014-11-19,Ethan Freid,ref-0000537770.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000567008,<i>Blutaparon vermiculare</i> grows in saline areas along the coast or edges of mangrove flats.,habitat,EN,Ethan Freid,,,2014-11-19,Ethan Freid,ref-0000567008.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000576185,<i>Bursera frenningiae</i> grows in Dry Broadleaf Evergreen Formation - Shrublands (scrublands) on sand substrate in coastal areas.,habitat,EN,Ethan Freid,,,2014-11-19,Ethan Freid,ref-0000576185.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000594096,<i>Centella asiatica</i> grows in Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2014-11-19,Ethan Freid,ref-0000594096.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000766369,<i>Echinodorus berteroi</i> grows in Fresh Water Wetlands and sink holes.,habitat,EN,Ethan Freid,,,2014-11-19,Ethan Freid,ref-0000766369.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000250005,<i>Neobracea bahamensis</i> grows in Dry Broadleaf Evergreen Formation – Forest/Shrubland (Coppice or scrublands) and Pine Woodlands.,habitat,EN,Ethan Freid,,,2014-12-09,Ethan Freid,ref-0000250005.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000283521,<i>Prosthechea boothiana</i> grows in trees above wet sinkholes in Dry Broadleaf Evergreen Formation – Forests (coppice).,habitat,EN,Ethan Freid,,,2014-12-09,Ethan Freid,ref-0000283521.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000419850,"<i>Fimbristylis cymosa</i> grows along the edges of Fresh and Salt Water Wetlands, roadsides, and Dune systems.",habitat,EN,Ethan Freid,,,2014-12-09,Ethan Freid,ref-0000419850.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000420815,"<i>Fimbristylis ferruginea</i> grows along the edges of Fresh and Salt Water Wetlands, roadsides, and Dunes. ",habitat,EN,Ethan Freid,,,2014-12-09,Ethan Freid,ref-0000420815.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000948591,<i>Encyclia altissima</i> grows in Dry Broadleaf Evergreen Formations – Forest/Woodland/Shrublands (coppice) that have a mixture of species or are palm dominated.,habitat,EN,Ethan Freid,,,2014-12-09,Ethan Freid,ref-0000948591.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001332875,<i>Tiedemannia filiformis</i> grows in Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2014-12-09,Ethan Freid,ref-0001332875.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000544266,<i>Ardisia escallonioides</i> grows in Dry Broadleaf Evergreen Formation- Forest/Shrubland (coppice).,habitat,EN,Ethan Freid,,,2015-04-10,Ethan Freid,ref-0000544266.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000018953,<i>Wedelia bahamensis</i> in coastal areas in a sand substrate.,habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0000018953.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000314854,"<i>Stachytarpheta fruticosa</i> grows in Human Altered environments, salt flats, Ephemeral Fresh Water Wetlands, savannahs, and the edges of Dry Broadleaf Evergreen Formations (coppice).",habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0000314854.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000429855,<i>Zamia angustifolia</i> grows coastal Dry Broadleaf Evergreen Formations- Shrublands/Dwarf Shrublands with an unconsolidated Holocene sand substrate and in Pine Woodlands.,habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0000429855.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000736828,<i>Sagittaria lancifolia</i> grows in Fresh Water Wetlands and sink holes.,habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0000736828.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000752420,<i>Zephyranthes puertoricensis</i> grows in Human Altered environments with a sand substrate including roadsides and yards.,habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0000752420.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000752509,<i>Zephyranthes citrina</i> grows in Human Altered environments with a sand substrate including roadsides and yards.,habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0000752509.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000752515,<i>Zephyranthes rosea</i> grows in Human Altered environments with a sand substrate including roadsides and yards.,habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0000752515.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001143048,"<i>Turnera diffusa</i> grows in Human Altered environments (roadsides, houses, abandoned fields), dune areas as well as long the edges of Dry Broadleaf Evergreen Formation – Woodlands/Shrublands.",habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-0001143048.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-1000028324,<i>Pelazoneuron kunthii</i> grows in rocky areas and the walls of sink holes.,habitat,EN,Ethan Freid,,,2015-04-11,Ethan Freid,ref-1000028324.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001105396,"<i>Samolus ebracteatus</i> grows in saline flats, roadsides and areas with low saline soils.",habitat,EN,Ethan Freid,,,2015-04-12,Ethan Freid,ref-0001105396.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000279164,<i>Plumeria obtusa</i> grows in Dry Broadleaf Evergreen Formation – Forest/Shrubland (coppice or scrublands).,habitat,EN,Ethan Freid,,,2015-04-13,Ethan Freid,ref-0000279164.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000295854,<i>Rachicallis americana</i> grows along shorelines on Dunes and Rocky Shores as well as inland saline rock flats.,habitat,EN,Ethan Freid,,,2015-04-13,Ethan Freid,ref-0000295854.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000317370,<i>Strumpfia maritima</i> grows along shorelines on Dunes and Rocky Shores as well as inland rock flats.,habitat,EN,Ethan Freid,,,2015-04-13,Ethan Freid,ref-0000317370.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000727199,<i>Hypelate trifoliata</i> grows in Pine Woodlands and Dry Broadleaf Evergreen Formations – Forest/Woodlands/Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2015-04-13,Ethan Freid,ref-0000727199.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000065816,"<i>Pluchea rosea</i> grows in Human Altered environments (roadsides, abandoned fields) as well as Fresh Water Wetlands.",habitat,EN,Ethan Freid,,,2015-04-14,Ethan Freid,ref-0000065816.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000222998,<i>Lantana balsamifera</i> grows in <i>Coccothrinax argentata</i> dominated Dry Broadleaf Evergreen Formation - Woodland (coppice).,habitat,EN,Ethan Freid,,,2015-04-14,Ethan Freid,ref-0000222998.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000223103,<i>Lantana demutata</i> grows in <i>Coccothrinax argentata</i> dominated Dry Broadleaf Evergreen formation - Woodland (coppice).,habitat,EN,Ethan Freid,,,2015-04-14,Ethan Freid,ref-0000223103.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000266801,"<i>Pentalinon luteum</i> grows in in Dry Broadleaf Evergreen Formation Forests/Shrublands (coppice), Dunes, Rocky Shores, and Pine Woodlands.",habitat,EN,Ethan Freid,,,2015-04-14,Ethan Freid,ref-0000266801.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000404539,"<i>Rivina humilis</i> grows in Dry Broadleaf Evergreen Formation – Forest/Shrubland (coppice) and Human Altered environments (abandoned fields, waster areas, roadside).",habitat,EN,Ethan Freid,,,2015-04-14,Ethan Freid,ref-0000404539.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000432992,"<i>Sesuvium portulacastrum</i> grows in Dunes, Rocky Shores and the edges of Mangrove flats.",habitat,EN,Ethan Freid,,,2015-04-14,Ethan Freid,ref-0000432992.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000488415,<i>Persicaria glabra</i> grows in Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2015-04-14,Ethan Freid,ref-0000488415.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000310562,<i>Sideroxylon americanum</i> grows in Dry Broadleaf Evergreen Formation – Forest/Woodland/Shrublands (coppice and scrublands).,habitat,EN,Ethan Freid,,,2015-04-15,Ethan Freid,ref-0000310562.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000310731,<i>Sideroxylon foetidissimum</i> grows in Dry Broadleaf Evergreen Formation – Forest/Woodland/Shrublands (coppice and scrublands) and Pine Woodlands.,habitat,EN,Ethan Freid,,,2015-04-15,Ethan Freid,ref-0000310731.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000312516,"<i>Spermacoce laevis</i> grows in Human Altered environments (roadsides, farms, yards).",habitat,EN,Ethan Freid,,,2015-04-15,Ethan Freid,ref-0000312516.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000410543,<i>Tournefortia gnaphalodes</i> grows in Dunes.,habitat,EN,Ethan Freid,,,2015-04-15,Ethan Freid,ref-0000410543.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000586340,<i>Tillandsia usneoides</i> grow on shrubs and trees in Dry Broadleaf Evergreen Formation – Forests and Shrublands (coppice and scrublands) near the opening of caves and surrounding Fresh Water areas.,habitat,EN,Ethan Freid,,,2015-04-15,Ethan Freid,ref-0000586340.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000683516,"<i>Eustoma exaltatum</i> grows in and around Fresh Water Wetlands as well as Human Altered environments (yards, roadsides, abandoned fields).",habitat,EN,Ethan Freid,,,2015-06-04,Ethan Freid,ref-0000683516.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000901089,<i>Coccothrinax inaguensis</i> grows on sand substrate Dry Broadleaf Evergreen Formations Woodland/Shrublands.,habitat,EN,Ethan Freid,,,2015-07-11,Ethan Freid,ref-0000900697.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000754470,<i>Agave inaguensis</i> grows on sand substrate Dry Broadleaf Evergreen Formation – Dwarf shrublands near shorelines and on off shore cays.,habitat,EN,Ethan Freid,,,2015-07-15,Ethan Freid,ref-0000754470.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000024765,<i>Chromolaena lucayana</i> grows in coastal areas in a sand or limestone substrate near wetlands.,habitat,EN,Ethan Freid,,,2015-07-19,Ethan Freid,ref-0000024765.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000032105,<i>Flaveria linearis </i>grows in Pine Woodlands and edges of Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2015-07-19,Ethan Freid,ref-0000032105.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000429935,<i>Zamia lucayana</i> grows coastal Dry Broadleaf Evergreen Formations- Shrublands/Dwarf Shrublands with an unconsolidated Holocene sand substrate.,habitat,EN,Ethan Freid,,,2015-07-19,Ethan Freid,ref-0000429935.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000558375,<i>Badiera oblongata</i> grows in Dry Broadleaf Evergreen Formation – Shrubland (coppice- scrubland).,habitat,EN,Ethan Freid,,,2015-07-19,Ethan Freid,ref-0000558375.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001091149,"<i>Passiflora cupraea</i> grows in all plant communities in the Lucayan Archipelago as well as Human Altered environments (yards, fence lines).",habitat,EN,Ethan Freid,,,2015-07-19,Ethan Freid,ref-0001091149.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000415571,<i>Utricularia gibba</i> grows in Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2015-08-06,Ethan Freid,ref-0000415571.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000268177,<i>Argythamnia lucayana</i> grows in sandy areas.,habitat,EN,Ethan Freid,,,2015-11-11,Ethan Freid,ref-0000268177.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000819313,<i>Catesbaea spinosa</i> grows on a solid limestone substrate in Dry Broadleaf Evergreen Formations (coppice).,habitat,EN,Ethan Freid,,,2016-06-20,Ethan Freid,ref-0000819313.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001252186,<i>Evolvulus squamosus</i> grows exposed limestone Dry Broadleaf Evergreen Formation – Shrublands (scrub coppice).,habitat,EN,Ethan Freid,,,2016-08-20,Ethan Freid,ref-0001252186.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000090869,<i>Sympyhotrichum lucayanum</i> grows in Pine Woodlands and edges of Fresh Water wetlands.,habitat,EN,Ethan Freid,,,2016-10-11,Ethan Freid,ref-0000090869.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000087708,<i>Borrichia arborescens</i> grows in coastal areas such as Dunes and Rocky Shores.,habitat,EN,Ethan Freid,,,2017-04-11,Ethan Freid,ref-0000087708.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000578708,"<i>Cakile lanceolata</i> grows in Dunes, coastal Dry Broadleaf Evergreen Formation - Palm Woodlands, and the edges of saline wetlands. ",habitat,EN,Ethan Freid,,,2017-04-12,Ethan Freid,ref-0000578708.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000175508,<i>Chamaecrista lineata</i> grows on unconsolidated Holocene sand substrate areas near coastlines including Dunes and Dry Broadleaf Evergreen Formation – Shrublands (scrublands).,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000175508.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000189858,<i>Canavalia rosea</i> in coastal areas primarily Dunes.,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000189858.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000435152,<i>Schinus terebinthifolia</i> grows in Human Altered environments as well as invading Fresh Water Wetlands.,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000435152.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000455933,"<i>Thespesia populnea</i> grows around Fresh and Saline Wetlands, along coastal areas including behind Dunes and Human Altered environments.",habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000455933.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000497413,<i>Scaevola plumieri</i> grows in Dunes and coastal zones.,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000497413.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000589782,"<i>Cassytha filiformis</i> grows as a parasite on other plants in Dry Broadleaf Evergreen Formations – Forest/Woodland/Shrubland/Dwarf Shrubland, Pine Woodlands, Dunes, Rocky Shore, Wetlands, and Human Altered environments.",habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000589782.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000830291,<i>Chrysobalanus icaco</i> grows in Dry Broadleaf Evergreen Formation – Shrublands/Dwarf Shrublands near in coastal areas as well as in Dunes and around Fresh Water and Saline wetlands.,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000830291.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000931505,<i>Croton linearis</i> grows on a Holocene substrate in Dry Broadleaf Evergreen Formations - Shrublands (scrubland coppice) and in Dunes. ,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000931505.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000946828,"<i>Duranta erecta</i> grows in Dry Broadleaf Evergreen Formation Forests/Woodlands/Shrublands (coppice/scrubland), Pine Woodlands and Human Altered environments.",habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0000946828.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001065157,<i>Scaevola taccada</i> grows in Dunes and Human Altered environments.,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0001065157.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0001429040,<i>Guilandina bonduc</i> grows in Human Altered environments as well as coastal regions near Dunes.,habitat,EN,Ethan Freid,,,2017-04-13,Ethan Freid,ref-0001429040.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000130484,"<i>Salmea petrobioides</i> in coastal areas such as Dunes, Rocky Shores, and Palm Woodlands.",habitat,EN,Ethan Freid,,,2017-04-16,Ethan Freid,ref-0000130484.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000345854,<i>Bletia purpurea</i> grows in Pine Woodlands and ephemeral Fresh Water Wetland areas.,habitat,EN,Ethan Freid,,,2017-04-28,Ethan Freid,ref-0000345854.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000963326,<i>Euphorbia mesembryanthemifolia</i> grows on Dunes and sandy coastal areas.,habitat,EN,Ethan Freid,,,2017-04-28,Ethan Freid,ref-0000963326.02,Leon Levy Native Plant Preserve.,All rights Preserved
wfo-0000429999,<i>Zamia integrifolia</i> grows coastal Dry Broadleaf Evergreen Formations- Shrublands/Dwarf Shrublands on limestone and in Pine Woodlands.,habitat,EN,Ethan Freid,,,2017-04-29,Ethan Freid,ref-0000429999.02,Leon Levy Native Plant Preserve.,All rights Preserved
