Wfo,General
wfo-0001429742,"Like Solanum eburneum, Solanum watneyi and Solanum succosum, but differing by having elliptic, unlobed (or rarely very shallowly lobed) leaves, small apical leaves, long calyx lobes on the staminate flowers and fully erect staminate inflorescence branches."
wfo-0001028475,"Solanum huayavillense is unique in the morelloid clade, and unusual in Solanum outside of the tomatoes, in having pale yellow, rather than white or violet, flowers. The yellow of S. huayavillense flowers is paler than that of the tomatoes but still clearly yellow. It is not known whether this yellow is due to carotenoid or flavonoid content, as no chemical analysis has been undertaken. Vegetatively and in fruit S. huayavillense resembles S. zuloagae from slightly lower elevations in Argentina. The two species share lax growth, with long branches scrambling over adjacent vegetation, thin membranous leaves with sparsely ciliate margins and tiny flowers with short, stubby anthers. The flowers of S. huayavillense are slightly smaller than those of S. zuloagae (0.9–1.2 cm in diameter versus 1.2–1.8 cm in diameter) and differ in colour (yellow versus clear white). The calyx tube is longer than the lobes in S. huayavillense and somewhat urceolate, while in S. zuloagae the lobes are longer than the tube, and often unequal in size."
wfo-1000050013,"Averett (1973) included this taxon under his broad concept of C. coronopus, as had earlier workers. Henrickson (by annotation) long treated the taxon as but a variety of C. coronopus, but, presumably, after noting the treatment of his proposed variety as specifically distinct (through annotations by Turner at LL-TEX), he also accepted its present status. Typical C. coronopus occurs largely to the east of C. arida. The two taxa are readily recognized by both vestiture and to some extent by leaf shape. Following Henrickson, and the present author, most of the references to C. coronopus in floristic literature for West Texas, New Mexico, Colorado, Arizona, and California would now be Chamaesaracha arida."
wfo-0001028444,"Solanum homalospermum is partially sympatric with S. elaeagnifolium and S. mortonii. It is similar to S. elaeagnifolium in its narrowly elliptic or lanceolate leaves, but can be distinguished from that species by its porrect-stellate, rather than lepidote, pubescence and strongly andromonoecious breeding system with a single hermaphroditic flower at the base of the inflorescence. It differs from S. mortonii in its lanceolate, concolorous leaves, porrect-stellate rather than multangulate pubescence, and in its strongly deflexed fruiting pedicel. Solanum homalospermum occurs at (usually) lower elevations and to the east of the main distribution of S. mortonii (see Figs 8 and 12)."
wfo-0001029657,"Solanum mortonii is a striking species with dense greyish silvery pubescence. It is sympatric with S. elaeagnifolium, and differs from that species in its multangulate, rather than lepidote, trichomes, its broader leaves and strongly andromonoecious habit. This species is restricted to very small area in the eastern part of Catamarca province, Argentina. During attempts to germinate seeds in order to perform mitotic chromosome counts number from rootlets, all seeds collected proved to be inviable. This suggests that S. mortonii has some type of reproductive abnormality or that seeds have very time-limited viability."
wfo-0001028489,"Solanum humile is an bushy shrub recognizable by its numerous straight prickles protruding from its branches at 90 angles, moderately sized ovate leaves with 2-3 lobes on each side, and inflorescences with 2-6 flowers. It comprises a range of morphologies and indumentum types. Several groups within S. humile were previously considered to be independent species. Plants identified as S. giftbergense occur in Namaqualand and southern Namibia between 28-31S latitude, and have large prickles 0.8-1 mm long with thick bases protruding from the main stem, flowers 1.2-1.5 cm diameter, broadly ovate leaves, 7-8 rays on leaf trichomes, and an erect habit. Further north are plants identified as S. subrectemunitum, restricted to 26-27S latitude, with fine, thin, shorter prickles, flowers 1-1.3 cm diameter, leaves more than 2 times longer than wide, 4-8 rays on leaf trichomes, and somewhat ascendant habit. Those populations identified as S. rigescentoides are found throughout the west coast of Namibia, between 17-24 latitude, and have plants with abundant prickles that are long but thin, flowers ca. 2 cm in diameter, fruit 1.1-1.3 cm diameter, broadly ovate leaves, no indumentum or 4-7 rays on leaf trichomes, and an erect habit. The northernmost element of this complex usually identified as S. multiglandulosum occurs at latitudes below 19 and extends into Angola; it has some prickles, flowers ca. 1-1.2 mm in diameter, 4-6 rays on abaxial trichomes, and medium size membranous leaves. Kolberg et al. 639 from the Brandberg Mountains does not fit into any of the above; it has long thick stem prickles like S. giftbergense and flowers ca. 2.8 cm diameter. The above taxa are not discrete entities and we agree with Jaeger (1985) who also recognized them as a single, highly variable species. Historically there has been confusion between S. humile and S. rubetorum, as the name S. rigescens Jacquin was widely applied to smaller-leaved South African taxa with straight prickles. The distribution range of S. humile in Namaqualand and further north does not in fact overlap with that of S. rubetorum in southern and eastern South Africa; S. humile can be distinguished from S. rubetorum by its concolorous leaves with shallow simple lobes 0.2-0.5 cm long (versus discolorous deeply dissected leaves usually with at least some secondary lobe development and primary lobes 0.5-2 cm long in S. rubetorum). Solanum humile is sympatric with S. capense and S. catombelense throughout almost all of its distribution range; the southern populations are sympatric with S. burchellii. Solanum humile can be distinguished from S. catombelense by its leaves with 2-4 pairs of primary veins (versus 4-6 pairs in S. catombelense), lobes extending 1/4-1/2 of the distance towards the midvein (versus less than 1/4 of the distance towards the midvein in S. catombelense), and straight prickles 4-13 mm long (versus straight or curved prickles 1-4 mm long in S. catombelense). It can be instantly told apart from S. burchellii by its lobed green to red-brown leaves with lobes 2-5 mm long and sparse indumentum (versus almost entire uniform yellow-green leaves with lobes up to 1.5 mm long and thick indumentum in S. burchellii). Solanum humile can be distinguished from S. capense by its straight prickles 4-13 mm long perpendicular to the stems and leaves (versus curved prickles 3-5 mm long). The two taxa can look strikingly similar, especially the populations of S. humile with long thin leaves between 26-27 latitude originally described as S. subrectemunitum. Solanum humile s. l. with straight prickles has traditionally been kept separate from S. capense s.l. with curved prickles, but there may be a closer relationship than previously suspected."
wfo-0001027050,"Solanum chrysotrichum is relatively uniform in the northern part of its range; it reaches its southern limit in the highlands of Costa Rica and Panama, where it seems to be involved in a nearly intractable complex involving possible local endemics (S. pluviale and S. truncatum), other taxa disjunct from the mountains of Colombia (e.g. S. stellatiglandulosum and S. scorpioideum), as well as possible hybridization with an equally difficult lowland complex composed of S. torvum and S. rudepannum. Like S. truncatum, it is a coarse and spiny plant with abundant ferruginous pubescence and occurs at elevations over about 1000 m. However, S. chrysotrichum lacks the glandular pubescence on the inflorescence axes characteristic of S. truncatum. It differs from S. rudepannum and S. torvum in having stellate hairs of the stem with thicker and longer stalks, the plants are more heavily armed with coarse spines, the leaf margins are often more deeply lobed, and the pubescence has a rusty cast. It is likely that this species can hybridize with S. rudepannum and perhaps other members of sect. Torva, but this should be investigated biosystematically. It had formerly been thought that this species ranged into South America and was identical to Solanum hispidum (based on S. stellatum Ruiz & Pav., 1799, non Jacquin, 1789), and the name S. hispidum was applied to this taxon by Standley & Morton (1938), Gentry & Standley (1974), D’Arcy (1973), and Symon (1981). However, S. hispidum has a very much larger, more open inflorescence and is clearly a different species only occurring in South America, although with very similar bristly hispid pubescence."
wfo-0001031793,"Solanum torvoideum is large, conspicuous and frequently collected. It is most similar and probably closely related to the broadly sympatric S. dammerianum from which it is not easily separated. Solanum dammerianum has a sordid and drab appearance (not brightly ferruginous), is more densely pubescent, and the inflorescence, especially in fruit, is more compact than that of S. torvoideum (the cyme branches not somewhat elongated). Solanum torvoideum is usually readily separated from the extremely widespread S. torvum, which has leaves that are more ovate in outline, a drab aspect and more shrubby growth habit, and always has glandular trichomes in the inflorescence. Section Torva, to which this and Solanum dammerianum perhaps belong, has a centre of diversity in Central and South America, so that these two species are of phytogeographical interest. Solanum torvoideum is very similar (but probably not closely related) to the South American species S. asperolanatum, but differs from it in its denser pubescence, smaller ovate-elliptic rather than ovate leaves, and acicular, not broadly flattened, bases of the prickles."
wfo-0001031791,"The most distinguishing character of this species is its pubescence. While the rest of the members of Solanum section Dunaliana have glabrous stems and leaves at maturity, the abaxial surface of the leaves are densely and persistently pubescent in Solanum torricellense, and the stems are densely pubescent with tardily deciduous stellate hairs. Solanum torricellense also has multangulate stellate hairs on the abaxial surface of the leaves, a hair type present in no other species of Solanum section Dunaliana. Save for the pubescence Solanum torricellense is a typical member of Solanum section Dunaliana. "
wfo-0001030285,"Solanum peekelii was named for P. Gerhard Peekel (1876-1949), a missionary in New Guinea who spent forty-three years collecting plants in the Bismark Archipelago, primarily on New Ireland, and who prepared a flora of the area. Though Peekel did not consider himself a botanist, he was clearly dedicated to botany. At the outbreak of the Second World War he took measures to preserve his manuscript. Notwithstanding, it suffered from the unfavorable conditions in dugouts and concentration camps; one volume was even pierced by a bullet from an airplane. During the Japanese occupation of New Ireland, Peekel's botanical knowledge saved his life. All whites were brought to a concentration camp where Peekel was the only male not to be killed because the Japanese wanted to take advantage of his botanical knowledge (Peekel, 1984). Peekel's Flora of the Bismarck Archipelago was translated from German into English by Hently and published in 1984 by the Office of Forests, Division of Botany, Lae, Papua New Guinea. Morphologically, Solanum peekelii is quite similar to S. dunalianum from which it differs in robustness, armament, leaf shape, pubescence, flower size, and fruit size. The unity of this species was recognized either at the species or varietal level by a number of workers. Symon (1985) mistakenly treated this species under the name S. torricellense, a species from which S. peekelii differs markedly (See discussion under S. torricellense). According to Peekel (1984), Solanum peekelii is one of the first plants to appear in abandoned gardens. It is or at least was common, and Peekel reported the Pala people used stems from the species to construct graters for taro and yams by binding them crosswise to a grid."
wfo-0001026905,"Solanum catombelense is a common medium sized shrub with inconspicuous flowers. The majority of specimens have a characteristic grey-brown tinge reminiscent of Chenopodiaceae, although some are yellow-green. The species concept accepted here matches that of Gon&ccedil;alves (2005) and includes a fairly heterogeneous assemblage of morphologies: the type of S. catombelense is a spindly plant with small leaves, S. albotomentosum is larger-leaved, robust and hairy, and S. rautanenii has a prickly calyx. Gon&ccedil;alves (2005) considered S. catombelense to be the southern extension of the S. anguivi distribution range, but the two species are largely sympatric. Solanum catombelense is unlike most S. anguivi s.l. with rounded lobes on the leaves, inflorescences with fewer flowers and fruits, and frequent occurrence of curved prickles. Solanum catombelense is partly sympatric with many spiny Solanum species: S. burchellii, S. capense, and S. humile towards the west, S. litoraneum and S. rubetorum towards the east, and S. supinum in inland areas. The yellow-green representatives of S. catombelense with smaller leaves and straight prickles can appear similar to S. burchellii; these can be distinguished from S. burchellii by the ovate to oblong leaves 3-8 cm long (versus elliptic leaves 1.7-4(5) cm long in S. burchellii), corolla 0.9-1.3 cm in diameter (versus 1.5-2.2 cm in diameter in S. burchellii), and anthers 2.5-3.5 mm long (versus 3.5-5.2 mm long in S. burchellii). Solanum catombelense is distinguished from S. capense by its leaves 3-8 cm long (versus 1.5-2.5 cm long in S. capense) that are lobed for less than 1/4 of the distance to the midvein (versus 1/3-2/3 of the distance to the midvein in S. capense). Solanum catombelense is clearly distinct from S. humile by its leaves with 4-6 pairs of primary veins (versus 2-4 pairs of primary veins in S. humile), leaf lobes extending less than 1/4 of the distance towards the midvein (versus 1/4-1/2 of the distance towards the midvein in S. humile), and straight or curved prickles 1-4 mm long (versus straight prickles 4-13 mm long in S. humile). Solanum catombelense differs from S. litoraneum by its chartaceous leaves with 2-4 lobes (versus membranous leaves with 1-2 lobes in S. litoraneum), 5-6 primary veins (versus 2-4 primary veins in S. litoraneum), and inflorescences 1-2.5 cm long with 1-4 flowers (versus inflorescences ca. 3 cm long with 2-14 flowers in S. litoraneum). Solanum rubetorum can be distinguished by its deeply lobed leaves and smaller trichomes on the adaxial leaf surface. The greyish almost entire leaves of S. catombelense in Botswana have been confused with those of almost entire-leaved and mostly without prickles S. supinum; the identity of S. supinum can be established by its single flowers, pentagonal corolla, and spiny calyx with conspicuously elongate lobes.
"
wfo-0001026342,"Solanum artense is most similar to Solanum semisucculentum, however the species differ in a number of ways. Solanum artense is sparsely to densely pubescent on the stems, along the midvein of the leaves adaxially, and sometimes the inflorescence; its leaves are chartaceous and typically have a greater leaf length to width ratio than S. semisucculentum. Also, S. artense is found below 250 m on calcareous soils while S. semisucculentum is typically found at high elevation on lateritic soils."
wfo-0001028896,"Like S. dunalianum Gaudich. but with narrowly elliptic to lanceolate leaves, many-branched inflorescences arising from the middle of the internode, and smaller fruits. Solanum labyrinthinum differs from other members of section Dunaliana (sensu McClelland 2012) in its almost completely glabrous narrowly elliptic or somewhat lanceolate leaves. Like Solanum torricellense Bitter of New Guinea, but unlike the other members of this group (section Dunaliana sensu McClelland 2012), the inflorescence of this species emerges from the middle of the internode. Solanum labyrinthinum differs from S. peekelii with which it has been confused (see below) in its narrow completely glabrous leaves at maturity with distinctive appressed stellate trichomes when young, its fewer principal leaf veins (7–10 versus 10–14) that often dry yellowish, its slightly smaller flowers (ca. 1.2 cm in diameter versus to 1.5 cm in diameter) and fruits, and in its distribution. The stems of S. labyrinthinum are often purplish tinged, and the flowers are darker purple than those of S. peekelii."
wfo-0001026707,"Solanum bumeliifolium is a rare and distinctive endemic with clusters of long narrow yellow-green leaves at branch apices, unusual lepidote indumentum and narrow entire leaves (D'Arcy and Keating 1976; Whalen 1984). Rays of the smaller stellate trichomes on the stems are fused for 1/3/-1/2 of their length but are less fused on larger foliar trichomes. Stem trichomes of S. bumeliifolium are stalked, unlike those of other Madagascan species with lepidote trichomes, S. croatii and S. heinianum, that are sessile. Identification of S. bumeliifolium is unambiguous; it differs from the sympatric S. heinianum by its leaves 3-7 cm (versus 1.5-3(4) cm) long clustered at the apices of terminal branches over 2 cm long (versus leaves restricted to brachyblasts under 2 cm long), petioles 0.5-1 cm (versus 0.3-0.5 cm) long, and anthers 3-4 mm (versus ca. 5 mm) long. Phillipson & Rabesihanaka 3135 has been identified by D'Arcy as a possible hybrid between S. bumeliifolium and S. heinianum but this is more likely to be a broader-leaved specimen of S. bumeliifolium as considerable leaf width variation exist in this species (see above). Solanum bumeliifolium can be distinguished from S. croatii of wetter environments in SE Madagascar by its concolorous yellow-green (versus discolorous grey-green to white-green) leaves 3-7 cm (versus 9-13(20) cm) long, with a decurrent (versus truncate to rounded) base, and anthers 3-4 mm (versus 4.5-5.5 mm) long.
"
wfo-0001030625,"This species was treated as S. macaoense Dunal in the “Flora of China” (Zhang et al. 1994), however, the type specimen of S. macaoense (Callery 28/29, P00055495) is clearly conspecific with S. torvum, making S. pseudosaponaceum the oldest and correct name for this taxon. Solanum pseudosaponaceum is one of the few Torva clade species occurring outside of the Americas (Aubriot et al. 2016a). It shares with the American members of the clade a shrubby habit, usually branched inflorescences, and hermaphroditic flowers. In common with S. poka, S. peikuoense and S. torvoideum, it has red berries; members of this clade native to the Americas have green to yellowish green mature fruits (e.g., S. chrysotrichum, S. torvum). For characters useful in distinguishing S. pseudosaponaceum from other members of the Torvum clade see descriptions of S. poka and S. torvum."
wfo-0001027506,"Solanum dennekense is a robust shrub with entire ovate pubescent leaves, white stems, hooked prickles on its stems and straight prickles on its leaves, and bright yellow fruits up to 3.5 cm in diameter that dry hard and bony. Most collections are made from weedy and fertile roadside plants only ca. 1 m tall, but in undisturbed open areas these can develop into trees ca. 6 m tall (M.S. Vorontsova, pers. obs.). The sap is aromatic (fide Tanner 4284). Solanum gillettii has been placed under S. arundo by Jaeger (1985) but under S. dennekense by Friis (2006a, 2006b); we agree with the latter opinion. Solanum dennekense and the more common and largely sympatric S. arundo form the Arundo clade (Fig. 3 in Vorontsova et al. 2013), sharing the curved stem and straight leaf spines, tough yellow pericarp, and white stems. Solanum dennekense occupies wetter environments at higher elevations and can be distinguished from S. arundo by its ovate entire (to obscurely lobed) leaves more than 2.5 cm wide (versus elliptic clearly lobed leaves less than 2.5 cm wide in S. arundo), and leaf prickles 2-5 mm long (versus 5-15 mm in S. arundo).
"
wfo-0001028777,"The almost bare thick shiny red-brown branches of S. jubae make the species easy to distinguish from other African Solanum species, but hard to distinguish from abundant Commiphora (Burseraceae) shrubs in the same habitat. Leaves and flowers appear after the rains and abscise shortly afterwards; fruits develop in the dry season and specimens with mature fruits are rare. Label data note that the plant has an unpleasant smell (Somalia, Hemming 2265, K)."
wfo-0001031738,"Solanum thomsonii is an easily recognisable geographically restricted species with numerous small fruits and long indumentum that dries yellowish-orange on herbarium specimens. Its characteristic yellow-green leaves have broadly rounded secondary lobes, yellow venation patterns on the adaxial surface, and white woolly clumps of trichomes on the abaxial surface. It has stout flexible branches with short internodes and few prickles. C.H. Wright (1906) did not consider his S. thomsonii as being closely related to S. aculeastrum and placed the two species far apart in his taxonomic scheme. Bitter (1923) did not have any material of S. thomsonii available and listed it as an unplaced name; he described a new species, S. protodasypogon (here treated in synonymy), with long yellowish hairs and numerous fruits. Jaeger (1985) simplified Bitter's system for S. aculeastrum s. l. and accepted S. thomsonii as a subspecies of S. aculeastrum. In fruit S. thomsonii is easy to distinguish from S. aculeastrum by its 4-10 smaller (1.4-1.7 cm diameter) smooth berries in each infructescence. In absence of fruit identification is more difficult; S. thomsonii has apically rounded leaf lobes (versus obtuse, sometimes rounded leaf lobes in S. aculeastrum), calyces 10-15 mm long with acuminate lobes (versus calyces 3-15 mm long with acute to apiculate lobes in S. aculeastrum), and the combination of leaf color, long indumentum, and more branched inflorescences with more flowers. The long rust-colored (when dry) hairs of S. thomsonii do occur in some representatives of S. aculeastrum, but numerous small round fruit, branched inflorescences, and leaf morphology are unique to S. thomsonii. Solanum thomsonii and S. aculeastrum are not likely to be mistaken for other Solanum species due to their strongly discolorous leaves that are almost white underneath, comparatively large seeds 3.5-5 mm long, and a mixture of porrect and multangulate stellate hairs with 8-16 rays (versus the more usual 6-8 rays in other large-leaved African Solanum species).
"
wfo-0001031116,"Solanum schliebenii is a rare and odd species with multiple branched inflorescences, long soft bristles, and a peculiar indumentum. It has two unique characters not found in any other African Solanum species; soft bristles and collapsed multangulate trichomes. The bristles are long floppy epidermal outgrowths almost certainly homologous to the prickles of many other species and to the erect bristles in S. schumannianum. These bristles consist of the stalk of a stellate trichome that elongates until it develops into a soft white structure 4-7 mm long and 0.4-0.7 mm wide at base, itself densely covered in stellate trichomes. These bristles form a dense covering on most young stems. The stellate trichomes of S. schliebenii are similar to those in other spiny species of Solanum but are structurally weak and flexible. Solanum trichome classification systems (Seithe 1962, 1979; Roe 1971) are based on overall structure and do not account for different levels of structural strength, although trichomes with weak and collapsing walls somewhat similar to those of S. schliebenii are also found in the New World Solanum section Geminata (G. Don) Walp. (e.g., the arachnoid dendritic trichomes of S. maturecalvans Bitter; Knapp 2002c) and New World Solanum section Cernuum Carv. & Sheph. (e.g. the chaffy dendritic trichomes of S. pachimatium Dunal; Carvalho & Machado 1991). Details of the stellae are almost impossible to distinguish because the trichomes are collapsed flat against the epidermis and partly transparent, appearing as a mealy white coating that is soft to the touch on the stems and leaf undersides. On Paulo 39 (K000441558) and Bruce 618 (K000441559, K000441562) the trichomes are so collapsed that identifying their structure is almost impossible; on Harris et al. 5135 (K000441561) and Jannerup & Mhoro 201 (K000441560) the structural integrity of the trichome cells is more clear such that the individual rays protrude from the surface and it is often possible to count them. Solanum schliebenii is most similar to the more widespread S. schumannianum. The two species share large entire leaves clustered towards the tips of younger branches and multiply branched inflorescences. Solanum schliebenii occurs between 1500 and1800 m while S. schumannianum has only been recorded above 1800 m, and it is not clear how close together in space the two species occur. Solanum schliebenii can be easily distinguished from S. schumannianum by its soft white stem bristles 0.4-0.7 mm at base (versus erect rigid purple-black or brown bristles 0.2-0.4 mm wide at base in S. schumannianum), soft collapsed stellate trichomes (versus erect rigid stellate trichomes in S. schumannianum), leaves ca. 2 times longer than wide (versus leaves 2.5-2.3 times longer than wide in S. schumannianum), pedicels 0.3-0.5 mm long in flower and 0.7-0.9 mm long in fruit (versus pedicels 0.6-1 mm long in flower and 1-1.6 mm long in fruit in S. schumannianum), and seeds 2.7-3.2xca. 2.5 mm (versus seeds 3.5-4.5x3-4 mm in S. schumannianum).
"
wfo-0001030353,"Solanum phoxocarpum is sympatric with the closely related S. aculeastrum, and can be distinguished by the unusual cylindrical pointed fruits, subentire leaves on fertile branches, and mauve flowers; the two species frequently grow together in woodland above 2100 m. Solanum aculeastrum has more deeply lobed leaves and abundant prickles, while S. phoxocarpum has entire leaves and fewer prickles.
"
wfo-0001025704,"Solanum aculeastrum is a widespread and variable shrub easy to recognize by its markedly discolorous lobed leaves that are almost white below and by its prominent (often) orange large, downwardly curved prickles. The fruit is frequently compared to lemons: big, almost always single, yellow, round or apiculate to somewhat elongated, with a tendency to develop warts. Warty fruits are most common in Uganda and in northern Democratic Republic of the Congo, but also occur sporadically in South African populations.
Solanum aculeastrum as circumscribed by recent authors (e.g. Jaeger, 1985; Gon&ccedil;alves 2005) is here recognized as three species: the widespread and variable S. aculeastrum s. s., S. thomsonii with multiple small fruits from Tanzanian southern highlands, and S. phoxocarpum with markedly pointed fruits. Solanum aculeastrum can be distinguished from S. thomsonii by its 1(-3) fruits 3-5 cm long (versus 4-10 spherical fruits 1.4-1.7 cm long in each infructescence in S. thomsonii), obtuse or sometimes rounded leaf lobes (versus lobes always rounded in S. thomsonii), and calyx 3-15 mm long with acute to apiculate lobes (versus calyx 10-15 mm long with acuminate lobes in S. thomsonii). Solanum aculeastrum can be distinguished from S. phoxocarpum by its lobed, ovate to elliptic leaves 8-15 cm long and 1.5-2 times longer than wide (versus subentire elliptic leaves 6-8 cm long and ca. 2.5 times longer than wide in S. phoxocarpum), globose to elliptic or pyriform fruit less than two times longer than wide (versus pyriform pointed fruits ca. two times longer than wide in S. phoxocarpum)."
wfo-0001028109,"Solanum giganteum is a striking and commonly collected shrubby pioneer species with large discolorous leaves, the presence of small stipule-like leaves on the stems, large bunches of bright red berries, deltate stem prickles and abundant indumentum detaching from the plant as white powder. Stalks of multangulate trichomes on the young stems and leaves elongate and break off so the stellae form loosely attached clumps. This white powdery substance deposits on anything that comes into contact with the plant. A single stem grows upwards until around 2 meters in height before reaching reproductive maturity and starting to branch dichotomously. The stems are hollow, sweetly aromatic, and sapless (Tanzania, Tanner 5782, K) and the habit is generally similar to a widespread roadside Vernonia (Asteraceae) species (M.S. Vorontsova, pers. obs.). Populations of S. giganteum in India tend to have fewer flowers and fruits as well as smaller leaves. Solanum giganteum is clearly different from sympatric species throughout its distribution range except in Uganda, Rwanda and Democratic Republic of the Congo where it exhibits greater variability and there is a complex transition with S. tettense and S. wittei. Some populations in Uganda and Democratic Republic of the Congo with more slender habit, smaller and more condensed inflorescences, and shorter yellowish indumentum have been variously segregated as S. bequaertii, S. sordidescens, and S. muansense but we have chosen not to maintain these as distinct taxa. Solanum giganteum is sympatric with the smaller and more slender S. wittei in the inland area surrounding Lake Victoria, Lake Albert, Lake Edward, Lake Kivu, and the northern part of Lake Tanganyika; S. giganteum can be distinguished by its leaves 12-40 cm long (versus 6-10 cm long in S. wittei), 30-150 flowers per inflorescence (versus 15-30 flowers per inflorescence in S. wittei), and anthers 2.5-3 mm long (versus anthers 3.5-4 mm long in S. wittei). Solanum giganteum is largely sympatric with S. tettense, which also has strongly discolorous leaves and deltate prickles; S. giganteum can be distinguished by its elliptic leaves 12-40 cm long (versus ovate leaves 4-10(16) cm long in S. tettense), 30-150 flowers per inflorescence (versus 10-30 flowers per inflorescence in S. tettense), and anthers 2.5-3 mm long (versus anthers 4-6 mm long in S. tettense). Solanum tettense generally occurs in drier areas at lower elevations. Solanum giganteum is one of the few African spiny Solanum species to have a long history of cultivation in Europe, most likely due to its unusual appearance as well as its occurrence in South Africa and India (Sims 1817). Solanum giganteum is also one of the three species of spiny Solanum that occur in tropical Africa as well as in India. The other two species, S. forskalii and S. cordatum, are semi-desert species growing in northeastern Africa, Arabia, and South India, but the distribution of S. giganteum appears to be disjunct, with no collections known from Arabia."
wfo-0001026343,"Solanum arundo is a common and distinctive spiny small tree, often associated with human habitation and easy to recognize by the large flat curved prickles on its stem and long straight prickles on its leaves. Collections of S. arundo are commonly annotated as S. diplacanthum in herbarium collections as the earlier name S. arundo was not used by Bitter (1923). Solanum arundo and the largely sympatric S. dennekense form the Arundo clade (Vorontsova et al. 2013), sharing hooked stem and straight leaf prickles, tough yellow pericarp, and white stems. Solanum arundo can be distinguished from S. dennekense by its longer leaf prickles and its elliptic clearly lobed leaves less than 2.5 cm wide, versus ovate entire or only very shallowly lobed leaves more than 2.5 cm wide in S. dennekense.

"
wfo-0001429810,"Solanum peikuoense is a distinctive plant, and unlikely to be confused with any other species in the region. It is a member of the Torva clade (see Aubriot et al. 2016a) and is morphologically similar to other southeast Asian members of the group such as S. poka, S. pseudosaponaceum and S. torvoideum (and the introduced S. torvum). Its shiny, almost glabrous mature leaves and stems distinguish it from any of these species, all of which are densely pubescent. It can be distinguished from the introduced S. torvum in the shiny leaves with acute to acuminate (rather than acute to truncate) apices, and its red or black berries (versus dirty green-yellow in S. torvum); S. peikuoense also lacks the characteristic simple glandular trichomes found in the inflorescence axes of S. torvum. Some collections (e.g., Ku 1752) mention dark purple stems and purple flowers; other gatherings record the flowers as white."
wfo-0001027310,"Solanum croatii is a small tree easily recognisable by its long narrow willow-like discolorous leaves. Prickles have only been seen on collections made from non-reproductive branches. It is the most abundant species of the three rare Madgascar endemic solanums with lepidote indumentum and narrow entire leaves (D'Arcy & Keating 1976; Whalen 1984). Solanum croatii is the largest of these, growing up to 6 m (habit up to 4 m in S. bumeliifolium and S. heinianum) with leaves 9-13(20) cm long (up to 7 cm in S. bumeliifolium and S. heinianum), and is the only member of the group in southeastern Madagascar, its distribution apparently not overlapping with S. bumeliifolium and S. heinianum in southwestern Madagascar. The majority of S. croatii collections we have seen are without prickles, although the armed juvenile representatives are covered with large prominent orange-brown prickles evenly distributed over the stems, petioles, and leaves. Anther surface fissures are short and fairly regular in appearance, sometimes solitary but often covering all visible anther surface; these are also observed on a minority of flowers in S. bumeliifolium and S. heinianum.
"
wfo-0001026790,"Solanum campylacanthum is a familiar species to anyone visiting northeastern or southern Africa, omnipresent in almost any disturbed environment between sea level and 2000 m elevation. A perennial weed flowering and fruiting abundantly throughout the year, it has mauve flowers, large bright yellow fruits, a long taproot, and usually entire leaves that are often quite large. Comparing isolated specimens of S. campylacanthum creates the impression of numerous species and indeed, 84 names have been published and 23 species and 36 infraspecific taxa were recognized by Bitter (1923) within our concept of S. campylacanthum. Observation of the stands of S. campylacanthum growing throughout Africa and comparison of thousands of herbarium specimens reveals that the morphological variation is actually continuous, with similar variants occurring randomly in different parts of the population, e.g. the presence of curved prickles or obtuse leaf lobes is rare but equally likely in Ethiopia, Kenya, or Mozambique. Solanum campylacanthum does not usually reach above 1.5 m in height, but in the forests of upland Kenya it can grow up to 4 m; the surprising extent of the variation in Kenya has been documented by Robinson (1993). The only morphological character consistently varying with geographical distribution is the occurrence of smaller size and smaller, longer, and narrower leaves south of around 20S. These smaller plants with long narrow leaves were variously recognized by Jaeger and Lester as S. panduriforme or S. delagoense. We include these under S. campylacanthum as the morphological cline is continuous with no marked geographical discontinuity from north to south."
