Wfo,Vercular
wfo-0001028014,"Egypt: Milâdôb (Bishari tribes, Khattab 6303); Akra kwati (Murray 3744), Akarkawatîb (Shabetai F.1753 bis). Sudan: Akra-kwateib (Cooke 127). Somalia: Mayijoblih (Griffith 99), Gh dh ny ley (Haud 78). Ethiopia: Me’ih Godlech (meaning snake tooth, Hemming 152). Kenya: Lodongamuroi (Turkana language, Mathew 6796, 6553).
"
wfo-0001031101,"Somalia: Karireh (Hemming 35), Kararete (Hemming 1911).
"
wfo-0001020071,"Colombia: Ahuyamo (Quindío, Bernal 1828), Mirtico de monte (Cauca, Pittier 737; Cundinamarca, Duque-Jaramillo 3330)."
wfo-0001032523,"Rwanda (all Kinyaruanda language): Igitarasoyo (Troupin 6604), Umukarihya (Troupin 8355), Umukarishya (Troupin 8632), Umukarisha (Troupin 4143). Uganda: Munubwa Nymyi (Luganda language, Purseglove 1834), Omulyanyonyi (Thomas 3988).
"
wfo-0001028971,"Unless otherwise indicated, common names are from Whalen et al. (1981: 103); languages when recorded are in square brackets. Brunei Darussalam: tarang asai, tarung bawi (Bernstein 133); China: mo ke shue (Tsang 16102); India: ram-begun [Bengali]; Kerala vellathu-vazhuthana (Mohanan and Henry 1994, as. S. ferox). Indonesia. Maluku: tomate hutan (Nooteboom 5837), trong baguri (Robinson 286); Sumatra: lattoeeng (many collections), terong hutan (Lörzing 15014), sontoman (si Toroes 2848); Laos: chou pout din (Vidal 5438), gim ông (Vidal 5438); Malaysia (general): tar-ong-asam [Malay]; Sabah: tarong sulok [Kadayan] (Abdul 2854), terong pipit or terong pasai (Cuadra A-2160), tokung [Sungei] (Cuadra A-1169); Malaysia/Singapore: t?rong asam (Burkill 1935); Philippines: basula [Ibang], dabatung [Sulu], tagtum [Panay-Bisaya], tarong-ayam [Bikol], tarong-tarong [Samar-Bisaya, Tagalog], talong gubat [Tagalog] (Blanco 1837: 136); Sri Lanka: mala-batu [Sinhalese]; Taiwan: da hugno teg io (Henry 358);Timor Leste: kaubasu (Wiriadianata 428); Thailand: ma ûk muak (Burkill 1935), ma uek (Heiser 1986), makhua-puu, ma-puu, mauek, yang-khui-dee, bakuek (Widmer 106); Vietnam: cây ca [Annamite] (Poilane s.n.), xo plo xoc [Moi] (Poilane 184). More orthographic and local variants of these names occur throughout the region (see Suppl. material 1 and dataset on the NHM Data Portal, https://doi.org/10.5519/0rqfzvgd)."
wfo-0001028444,None known.
wfo-0001027050,"South Africa: Giant devil's fig (Henderson 2011). China. duo lie shui qie (Zhang et al. 1994).
"
wfo-0001031793,"Philippines. Mindanao: bokul [Bukid] (Sulit 9868), tangutaungan (Zwickey 52), gebubruca (Frake 38012); Luzon: tanutong (Maliwanang 229)."
wfo-0001026905,Mozambique: Shintomane or Chumtumana (Nuvunga & Petrini 7654).
wfo-0001026707,"Madagsscar: Hazonosy (D'Arcy & Rakotozafy 1994).
"
wfo-0001030625,"China. shan qie (Zhang et al. 1994); Guangxi: tain tin ke tsz shue (Tsang 23902); Hainan: dithoulat (Lois, Lau 157), shan ke (Tsang 874). Indonesia. Java: tokokka, magay (Blume 1826). Philippines: qumit (Ifugao, Conklin 217). Taiwan: mao zhu wan tao hua (‘twigs are fluffy, many flowered, pink like peach flowers’)"
wfo-0001028777,"Somalia: Adur, Ardora, Gerewa (Friis 2006b).
"
wfo-0001031116,"Tanzania: Ndugut (Kiluguru language, Werdermann 1934).
"
wfo-0001030353,"Kenya: Osigawai, Sigawet (Masai language).
Uses. Fruits used medicinally; plants used as hedges.
"
wfo-0001025704,"Mutugunda, Omutugunda, and Mutura; more rarely mentioned are Umotobo, Kood (Lateba), Niva fera-fera, Temberere, Imitobotobo (Kirundi), and Motobatoba (Ruanda).
"
wfo-0001028109,"Sudan: Atileilo (Latuka language, Andrews A1939). Tanzania: Mamfumvu (Greenway 3074), Mwikomwiko (Bruce 456), Kimwikomwiko (Bruce 188S), Ndamelwa or Uteree (Watkins 590). Kenya: Lamaata (Derobo language, Bally 22). Uganda: Mulyanyonyi (Ankole language, Roscoe s. n.). Rwanda: Iniakarazin (Kinyarwanda language, Raynal 20752).
"
wfo-0001429810,None recorded
wfo-0001027310,"Madagascar: Angivibe, tsingivy (D'Arcy & Rakotozafy 1994).
"
wfo-0001026790,"Local Names (languages in parentheses). Angola: Matumbiriri (Lunyaneka). Democratic Republic of the Congo: Kalumbalumba (Luba). Ethiopia: Angulle Angulle; Etulele (Nyangatom); Garinti (Ari); Moh, Omboi (Amharic); Tirkit, Turkit, Turkett (Bodi). Kenya: Esikilele, Etelolo, Etilolo (Turkana); Da' ur (Somali); Endulelei, Intuleile i (Masai); Hiddi, Hiddi looni, Hidi (Boran); Ilitoratora (Kikuyu); Indalandalwa (Luhya); Intuteliot (Dorobo); Ioi (Boran); I-tulelei (Njemps); Kikondu, Mukondu (Kamba); Kiondu kinene (Kamba); Labotwa (Marakwet); Labotwet, Oloulele (Kipsigis); Lopotwa, Lopotwo (Pokot); Ltulelei (Samburu); Mtando; Mtunguja mwilu (Swahili); Mtondo (Giriama); Mtungudza koma; Mukondu (Digo, Kamba); Mtunguja (Swahili); Mtunguza koma (Digo); Mukondu (Kamba); Mutongu (Meru, Kikuyu); Ndulelei, Ndurerei, Ntulelei (Samburu); Ochok (Luo); Omoratara (Kisii); Ootobo (Kisii); Sodom apple; Yohola (Rendille). South Africa: N'toma (Zulu). Sudan: Naarim (Imatong). Tanzania: Bwanhula, Bwantula (Zaramo); Endellelei (Masai); Entoboro (Kerewe); Kitatula (Baluhia); Mitunguluja (Kimbunga); Mtuntula (Kiswheli, Kibemba); Mtula (Kishamba); Mtula (Zaramo); Mtungurusa (Ngoni); Nduo (Nyakiwa, Cheg); Mtura (Swahili); Mtuwa (Bondei, Kibondei); Mutongu (Kikuyu); Ndula (Bena, Hehe); Ndula (Kihehe); Ndwa (Kimeru); Ntufururu (Kibonde); Shaboik (Tatog); Tunguja (Tongwe, Swahili). Uganda: Ekitobutobu (Ankole); Ntulantula (Luganda, Lusoga). Zimbabwe: Munhundurwa.
Uses. Fruits and roots used medicinally and as poison in Tanzania, Kenya, and Uganda.
"
wfo-0001031316,"Many vernacular names are written on herbarium specimens, only the most frequently cited are listed here. Somalia: Kareri/Karere/Kereree: Karire, Karreri (Somali language), Kareri Ishaak tribes Collenette 132), Karil (Dammer 1905), Abdureer, Lolo (O'Brien 83), Aduio (Hemming 1820), Dacuur (Somali Medicinal Plant Project 221, K), Dassak (Franchet 1882).
Uses. Fruits used medicinally in Somalia.
"
wfo-0001029101,"South Africa: Sodom apple (English), this is also the common name through the Mediterranean.
Uses. Medicinal (van der Most et al. 2006).
"
wfo-0001026242,"Nigeria: Anonomwo (Gbabwele language, Thomas 2201), Anunungwe mwo (Thomas 2020). Ghana: Nsusua Twi (Irvine 1577).
"
wfo-0001028164,"Tanzania: Kikunga Mzitu (Kibondei language, Tanner 2310).
"
wfo-0001029407,"Kenya: Entuleli, Ol'tulele (Masai language, Glover et al. 1211), Labotwet (Kipsigis language, Glover et al. 811, 938), Kejejuet (Bally 4994), Ysduza (Napier 141).
Uses. Fruits used medicinally and as a poison.
"
wfo-0001026925,"Sudan: Kaderabas (Arabic, Simpson 7086).
"
wfo-0001028404,"Mexico. Baja California: mariola (many collections); Baja California Sur: mariola (many collections), trompillo (MEXU-1203067), malva (Ramirez 33); Sonora: mariola (López 85). United States of America. Arizona: Hinds’ nightshade, Baja nightshade (in cultivation)."
wfo-0001030709,"Madagascar: Kokomba, rohingivy, vangivy, vontaka (D'Arcy and Rakotozafy 1994).<br />
	Uses. Ornamental plant cultivated in glasshouses worldwide.
"
wfo-0001026208,"Local Names (a selection from the many recorded on herbarium specimens). Aboli, Ajuafekghe, Akajabara, Amponimpo, Anguivi, Annsureewia, Annsuroewia, Bakatule, Batula, Bawntay, bwain enye, Bokambo, Botaka, Bouisueguli, Daa-teno, Dotchok, Elolo, Enqui enquai, Entakara, Futa-fula, Hjagi, Itehie, Kinyaju, Losolo, Luanda, Lupangala, Lusu, Magbolei, Maina, Miyau, Mtunguja, Ndagala, Ndakara, Ndereh, Nodasi, N'omboro, Nsusa, Nsusua, Ntula, Ntula-Katunkuma, Ntulwa-Shambaa, Nzua, Obutura, Ocok, Omutakara, Quake, Subalu xunkure, Subulu, Sue, Sufura, Sulujato, Tilinga, Tulele, Ukwo, Umboy, Umukarishya. A more detailed study of local names for this species is beyond the scope of this work. The species epithet originates from the vernacular name used in Madagascar, anguivi."
wfo-0001025835,"Anguive, bois zil mowa, and bringelle marronne (Fosberg and Renvoize 1980).
"
wfo-0001031128,"Kenya: Mutonga (Moon 747). Tanzania: Mjujui (Sambaa language, Ngoundai 110), Njujui (Kishambaa language, Muze 8), Nguguli (Grant 29), Furumvu (Kisafwa language, applied more or less indiscriminately to spineless solanums of this size, St Clair-Thompson 854).
"
wfo-0001032259,"Tanzania: Mbuntwi (Koritschonet 1582).
Uses. Medicinal in Kenya and Tanzania.
"
wfo-0001032413,"Sri Lanka - tita-batu (F.N.Hepper 4518, 4599); Thailand - mawêng ton (A.F.G. Kerr 9048). China. ci tian qie (Zhang et al. 1994); Yunnan: xue shan qie (eggplant from the snow mountain; Yu 15962). India. Bihar: jangali baigan (Varma 1981, as S. indicum); Goa: ringani, inoti-ringani, badane, dorli (darli), motaring (Naithani et al. 1997); Karnataka: mullsunde, kad badne, ustikai (Singh 1988); Kerala: cheruchunda (Mohanan and Henry 1994, as S. anguivi Lam.); Tamil Nadu: naaimulli, mulluchundai [Tamil] (Matthew 1983); cherukinda, cheruvazhuthanai [Malayalam], ciruvaludalai, kondal, karimulli [Tamil] (Nair and Nayar 1987, as S. indicum), mulli, pappara-mulli, karimulli [Tamil] (Henry et al. 1987, as S. anguivi). Malaysia/Singapore: t?rong pipit puteh, t?rong pipit hijau (Burkill 1935), tèrong peuheur [Sundanese] (Burkill 1935).
"
wfo-0001031723,"Somalia: Amba Orbey (O'Brien 185). Kenya: Karithi or Karidi (Bally & Smith B14457), Mukondu (Kamba language, Van Someren 159/275), Mutongatongu (Kamba language, Mwangani & Napper 1345), Mutongatonga (Kitui, Gardner 3692), Muthugi (Graham 2256), Loptwo Kaner (Pokot language, Meyerhoff 69M), Loputwa (Pokot, Timberlake 504), Chuchwen (PokotMeyerhoff 136M), Dongadongo (Kikamba language, Bally 7785). Uganda: Ekujon (Hudson 191). Tanzania: Mupwa (Irangi language, Burtt 1443), Ndura (Kihehe language, Greenway & Kanuri 13949)."
wfo-0001029685,India. Karnataka: kahi sunde (Hosagoudar 96871); Tamil Nadu: soumbé (Leschenault de la Tour 163). Some of the names attributed to S. indicum in floras may refer to this species.
wfo-0001028337,"Madagascar: Hasonosy, masonosy, tambarikosy (D'Arcy & Rakotozafy 1994).
"
wfo-0001029802,"China. shu ci qie (Zhang et al. 1994); Vietnam. Gia Lai: trong nörvah [Jarai language] (Dournes s.n.); Ninh Thuân: bô kö chinh ao [Mnong language] (Poilane 8933, 20877), dan a xâm [Mnong language] (Poilane 9887), dan chinh ao [Mnong language] (Poilane 9082)."
wfo-0001030881,None recorded.
wfo-0001020214,"Brazil: Pimenta silvestre (São Paulo, Hoehne s.n.), Pimenta de bugre (Santa Catarina, Reitz C 924), Pimenta-do-mato (Santa Catarina, Schwirkowski 139), Pimenta do pasarinho (São Paulo, Barboza et al. 2023)."
wfo-0001032271,None recorded.
wfo-0001020020,"Common names. Argentina: Campanita (Salta, Barboza 164), Farolito, mitra (Distrito Federal, Melchiore s.n.); Brazil: Pimiento pitonga (Rio de Janeiro, Scaldaferro 57), Pimenta-de-cheiro-amarela (Amapá, Pereira et al. 1830), Chapéu-de-frade, Cabeça-de-frade, Chapéu-de-bispo, Pimenta-chapéu, Pimenta-de flor, Pimenta-de-cheiro (Roraima, Barbosa et al. 2006; São Paulo, Carvalho et al. 2006), Pimenta-chapeu-de-padre (São Paulo, Bernacci 2816), Pimentao fundo de garraba (Sturtevant 1888a); Jamaica and other Caribbean Islands: Jamaica hot (Miller and Harrison 1991); Peru: Rosasuchu (Andrews 1984); Western Hemisphere: Scallop pepper (Halsted et al. 1912), Rocotillo or Red squash (Andrews 1984)."
wfo-0001020219,"Brazil. Pimenta bentiví (Minas Gerais, Hunziker 25145)."
wfo-0001020188,"Brazil: Alecrim-quebrado (Piauí, Mendes et al. 509), Jiriquiti (Piauí, Mendes et al. 539), Murta (Sergipe, Oliveira et al. 552), Pimentinha (Pernambuco, Lucena 91)."
wfo-0001020028,"Bolivia. Aribibi (Cochabamba, Fernández T. et al. 2007), Ají de monte (Santa Cruz, Vargas C. & Prado 1282), Ulupica de yunga (Santa Cruz, Vargas C. et al. 1343)."
wfo-0001020018,"Common names: Argentina: Ají (San Juan, Ariza Espinar 3214; Corrientes, Benítez 76); Varita (Salta, Krapovickas & Schinini 28134), Ají picante (Salta, Hunziker 25496); Ají vainilla (Salta, Hilgert 1363), Puta parió (Corrientes, Martínez Crovetto 11125), Varita larga (Salta, Krapovickas & Schinini 28132), Ají huevo de gallo (Salta, Hilgert 1374); Bolivia: Ají (Santa Cruz, Williams 696; Tarija, Krapovickas & Schinini 39321), Aribibe (Santa Cruz, Hurtado 296), Aribibi (Santa Cruz, Heiser C281a, La Paz, Debouck et al. 3016), Ulupica (Tarija, Krapovickas & Schinini 31056), Aji acabeche (La Paz, Hinojosa & Wásra 1133), Ají amarillo (Cochabamba, Moscone 205), Aji Picante (Santa Cruz, Krapovickas & Schinini 32133), Locato largo (Santa Cruz, Heiser C290), Ají churcu, Ají rojo, Ají redondo, Pimentón colorado, Ají colorado gigantón (Santa Cruz, Libreros et al. 2014), Asta de buey amarillo, Huacareteño Duraznal, Huacareteño naranjo, Pa púca, Plomadita amarillo, Plomadita rojo, Chicotillo grueso, Huacarateño ancho amarillo, Cola de ratón amarillo, Cola de ratón naranjo (Chuquisaca, Libreros et al. 2014), Chicotillo, Huacareteño, Huacareteño amarillo, Ají amarillo, Ají colorado, Cumbaru rojo, Asta de buey, Asta de toro, Astay toro amarillo, Astay toro rojo, Astay toro anaranjado, Puntay lanza rojo, Puntay lanza anaranjado, Astay buey rojo (Chuquisaca, Jäger et al. 2013), Lata y Toro (Cochabamba, Moscone 209); Brazil: Pimenta (Rio de Janeiro, Krapovickas et al. 23428), Pimenta ardida (São Paulo, Alves de Paiva 01), Chifre de Veado (São Paulo, Heiser BGH 952), Dedo de moça (Paraná, Freire de Carvalho s.n.; Roraima, Barbosa et al. 2006), Pimenta de Passarinho (Espírito Santo, Mori et al. 11603), Pimenta dedo-de-moça (Amapá, Pereira et al. 1819; Minas Gerais, Vianna s.n.; Paraná, Leitão s.n.), Pimenta de cheiro amarela (Amapá, Pereira et al. 1830), Pimenta de cheiro vermelha (Amapá, Pereira & Severino 1851), Pimenta-unha-de velha (Río de Janeiro, Borges 66); Chile: Chota cabra (Santiago, Krapovickas 22232); Paraguay: Ají (Paraguarí, Galander 1877), Locotito (Paraguarí, Williams et al. 127), Locotito chico (Guairá, Williams et al. 121); Peru: Ají (San Martín, Belshaw 3210), Ají escabeche (Ancash, Francia 42); Amarillo Moquegua (Lima, Velarde Nuñez 6), Amarillo Tacna (Lima, Velarde Nuñez 23), Amarillo Trujillo (Lima, Velarde Nuñez 10), Cilindro amarillo (Lima, Velarde Nuñez 13), Cilindro colorado (Lima, Velarde Nuñez 15), Colorado Tacna (Lima, Velarde Nuñez 24), Escabeche amarillo (Lima, Velarde Nuñez 11), Escabeche intermedio (Lima, Velarde Nuñez 27), Escabeche Lurín (Lima, Velarde Nuñez 2), Escabeche Moquegua (Lima, Velarde Nuñez 3), Extra Lurín (Lima, Velarde Nuñez 21), Escabeche colorado ENA (Lima, Velarde Nuñez 1), Ají Amarillo, Ají escabeche (Bosland and Votava 2000), Ayuyo, Challuaruro (San Martín, Libreros et al. 2013), Ají uña de gallina (Lambayeque, Libreros et al. 2013). Indigenous names: Argentina: Keuí (= picante) (Corrientes, Hunziker 7339); Bolivia: Kîî (Guaraní, Santa Cruz, Roca 0689); Paraguay: Ky y’ (Guaraní, Cordillera, Williams et al. 135), Pimenta í (Guaraní, Guairá, Williams et al. 121)."
wfo-0001020017,"Common names: Argentina: Coincho (Jujuy, Fabris 3454), Cumbarí (Misiones, Montes 15164), Quitucho (Salta, Hunziker 1985), Puta-parió (Corrientes, Martínez Crovetto 11125), Ají quitucho (Salta, Hunziker 1579), Ají del campo, Ajitucho (Salta, West 8389), Ají del monte (Salta, Rial Alberti s.n.), Pimenta del monte (Misiones, Montes 15164), Pimentón del monte, ají cumbarí (Misiones, Montes 15202); Bolivia: Arabibi (Santa Cruz, Zenteno-R 12798), Aribibe (Santa Cruz, Hurtado 296), Aribibi (Chuquisaca, Debouck 3019; Santa Cruz, de Michel 159), Arivivi (Chuquisaca, Serrano 1903; Santa Cruz, Cárdenas 4702), Cobincho (Tarija, Krapovickas & Schinini 39010), Ají aribibi (Cochabamba, Thomas 705), Aribibi silvestre (Beni, Rivero 218), Ají del campo (Tarija, Krapovickas & Schinini 39010), Arivivi grande o cumbarito (Fundación PROINPA 2007), Arivivi last’a o miska (Fundación PROINPA 2007), Arivivi morado (Fundación PROINPA 2007), Arivivi tuna árbol grande (Fundación PROINPA 2007), Arivivi tuna con flor blanca (Fundación PROINPA 2007); Brazil: Cumari (Espírito Santo, Crepaldi 59), Pimenta-cumari (Goiás, Mendonça et al. 5971), Pimenta de passarinho (Bahia, Mori 11603); Colombia: Ají (Vichada, Rodríguez 164), Ají de babilla (Amazonas, Cárdenas 9423), Ají de la capitania (Amazonas, Cárdenas 9403); Peru: Aji Ayucllo (Junín, Bosland and Votava 2000). Indigenous names: Bolivia: Pochetii (Trinitario, Cochabamba, Thomas 705), Winno, Sachimi (Yuracare, Cochabamba, Thomas 705); Colombia: Azi (Piapocos, Vichada, Rodríguez 164), Gugsobia (Amazonas, Cárdenas 9423), Kulana (And, Amazonas, Castro & Matapí 564), Kulana (Yucuna, Amazonas, Cárdenas 9403), Kuraraka (Letuama, Amazonas, Cárdenas 9401); Paraguay: Hõmpita (Ayoreo, Boquerón, Gragson 124), Nuuhá (Alto Paraguay, Schmeda 1584)."
wfo-0001020212,"Brazil: Comarim (Minas Gerais, Krieger 5212), Pimenta (Mina Gerais, Mexia 4205; São Paulo, Briske s.n.), Pimentinha (Santa Catarina, Reitz 4749), Pimenta brava (Minas Gerais, Anonymous s.n.), Pimenta comary (São Paulo, Handro 860), Pimenta camari (São Paulo, Coelho s.n.), Pimenta cumarí (Goiás, Vieira 700; Minas Gerais, Krieger 5212; São Paulo, Hoehne & Gehrt s.n.), Pimenta cumarina (Minas Gerais, Tavares et al. 17), Pimenta-cumari-verdadeira (Santa Catarina, Schwirkowski 885), Pimenta Jorobinha (Rio de Janeiro, Glaziou 8841), Pimenta Passarinho (Southeast Brazil, Ferreira Pinto et al. 2016), Pimenta de combari (Minas Gerais, Lindberg 177), Pimenta do mato (Rio Grande do Sul, Costa Sacco 1332; Espírito Santo, Sucre & Soderstrom 8987)."
wfo-0001020174,"Brazil: Pimenta do sapo (São Paulo, Hunziker 19562)."
wfo-0001020257,"Brazil. Pimentinha (São Paulo, Kirizawa 3288)."
wfo-0001020062,"Brazil. Pimentinha-do-mato (Rio de Janeiro, Bovini & Giordano 363)."
wfo-0001020081,"Argentina: Ulapuca (Salta, Lahitte s.n.), Ulupica (Salta, Schinini et al.34774), Ají cobincho (Salta, Hilgert 2061); Bolivia: Ulupica (Cochabamba, Peñaranda 458; La Paz, Beck 25261; Potosí: Zamora 193; Santa Cruz, Vargas C. 1382), Ají ulupica (Tarija, Manchego CEP T21), Ulupica muruchi, Ulupica negra semiosca, Ulipica grande hosca, Ulupica tuna, Ulupica negra neta, Ulupica blanca, Ulupica verde, Ulupica camba, Ulupica negra con flor blanca (Chuquisaca, Libreros et al. 2014)."
wfo-0001020034,"Bolivia. Ulupica (La Paz, Heiser & Smith 4196); Uaika (Aymará, La Paz, Barboza 4881)."
wfo-0001020140,"Guatemala: Pajarito del río (Quezaltenango, Steyermark 33429), Yerba de pajarito (Quezaltenango, Steyermark 33357). Mexico: Tumattez (Tzeltal, Chiapas, Méndez Girón 7745), Chuj ch ‘ul tumaltez (Tzeltal, Chiapas, Ton 7803)."
wfo-0001020080,"Bolivia. Ulupica (Santa Cruz, Eshbaugh 1943; Nee 43483)."
wfo-0001030658,"India. sonde, hucchu sonde, savadangi, cherichunda (Malayam), kaattu sundai kaai (Tamil), usthi kaai (Telugu) (https://www.flowersofindia.net)."
wfo-0001020086,"Common names. Argentina: Cumbarí (Misiones, Montes 2139), Pimentina (Misiones, Montes 2375), Pimentiña (Misiones, Montes 2375), Ai Jesu (Misiones, Buchinger & Rodríguez 3222), Ají Cumbarí (Corrientes, Bonpland s.n.), Pimenta silvestre (Misiones, Montes 2140), Pimienta del monte (Misiones, Schwindt 4310), Pimiento del monte (Misiones, Buchinger & Rodríguez 3222), Pimentón del monte (Misiones, Schwindt 1871); Brazil: Pimenteira (Rio Grande do Sul, Santos et al. 2869), Pimenta-braba (Rio Grande do Sul, Abruzzi 576), Pimenta de passarinho (Paraná, Lleras Pérez et al. 1947), Pimenta do bugni (Santa Catarina, Neubert 216), Pimento-do-mato, pimenta-braba (Santa Catarina, Schwirkowski 1519); Paraguay: Locote (Canindeyú, Montes 3280), Pimiento silvestre (Canindeyú, Montes 3280). Indigenous names. Argentina: Guachu ky’i (Guabyrá poty, Misiones, Keller & Ferreira 1349), Guach ky’yi (Takuapi, Misiones, Keller 2957), ‘Ka’a ete’y’ (Guabyrá poty, Misiones, Keller & Ferreira 288); Paraguay: Ke-jiú (Canindeyú, Montes 3280)."
wfo-0001020250,"Peru. Ají silvestre (Huancavelica, Tovar 1867), Mucuru (Huancavelica, Tovar 1867; Junín, Barboza 5044), Mucuru-uchu (Huancavelica, Tovar 1867)."
wfo-0001020030,"Brazil. Pimenta da Serra (Rio de Janeiro, Kuhlmann 6288)."
wfo-0001028396,"From Santa Cruz Department in Bolivia, two names recorded on herbarium sheets were papa de zorro (I. G. Vargas C. 414) and tutía-tutía (A. Fuentes & C. Pítare 2400). These common names almost certainly refer to the globose or ellipsoid swellings on the roots (the common name tutia was given to S. aridum, another species with swellings on the roots). Other common names in Argentina include papaquisla, pocota, pocote, and pocotillo (Matesevach 2002). 
"
wfo-0001028814,"Argentina: meloncillo de olor, meloncillo del campo, and papa de cuchi (Matesevach 2002; Barboza 2013). The name meloncillo refers to the melon-scented fruits.
"
wfo-0001027187,"Paraguay: mero-rá (L. Bernardi 18421). Argentina: punguo, tutía-poñi, and melora (Matesevach 2002; Barboza 2013).
"
wfo-0001027359,"Tanzania: Mpanyanya (Kigogo language, Vorontsova et al. 192).
Uses. roots boiled and a decoction drunk for stomach problems; seeds gathered in the mountains and plants grown for medicinal use (Kigogo, Tanzania, Vorontsova et al. 192).
"
wfo-0001026912,United States of America. Hawaii (Nihoa): Akia (St. John 22731).
wfo-0001025714,"In Africa - Local Names (languages in parentheses). Democratic Republic of the Congo: Igitoborugwa (Kinyaruanda); Tshataborura (Dogo). Kenya: Entobo ya sukuma (Kisii); Kamurwaba (Kikuyu); Lopotwo (Turgen); Ltuleleli (Samburu); Ntulelei (Samburu); Oldulelei-lendim; Syab-melil (Masai, Kipsigis); Shiradalva (Pokot); Siyameli (Lumbwa); Tulele (Dorobo); Tullelle (Derobe). Mozambique: Donguissa. Sierra Leone: Ankunt (Tamne); Koligujie (Mende). Sudan: Lokaboich (Didinga); Ochok (Lagwayo). Tanzania: Chamiva (Shambaa); Ndula (Hehe); Nduo (Chagga); Ntufululu (Shambaa). Uganda: Amabona; Enchuchu (Lukiga); Ntengo enene. Zimbabwe: Nonorua.
"
wfo-0001026924,"bush tomato, desert raisin, bush raisin, bush sultana, kutjera, Akatjurra, Merne akatyerre, Kampurarpa, Warrangkarli"
wfo-0001027009,"bush tomato, ngaru, Ngatajara, Chippendale's tomato"
wfo-0001020215,"Common names. Colombia: Tinto (Norte de Santander, Garganta 857); Ecuador: Arrayán (Chimborazo, Cerón 15714), Motupe (Imbabura, Vivar C. s.n.), Caspi morocho (Chimborazo, Scolnik 1594), Hierva dura (Carchi, Cerón 11092), Hierba mora (Pichincha, Cerón 6953), 7 varas (Pichincha, Cerón 13171); El Salvador: Mora silvestre (San Miguel, Villacorta et al. 2819), Veranera silvestre (Ahuachapán, Sandoval 308), Arito de niña (Ahuachapán, Sandoval 550); Venezuela: Cachimbito (Distrito Federal, Buschel s.n.). Indigenous name. Mexico. Tumaltez (Tzeltal, Chiapas, Alonso Méndez 7709)."
wfo-0001027116,"bush tomato, felted nightshade, western nightshade, gumi"
wfo-0001027155,None recorded.
wfo-0001028021,Peru. Ancash: japchilla (Cerrate & Ferreyra 7015). 
wfo-0001022276,"Not known.
"
wfo-0001022333,"Not known.
"
wfo-0001030265,"Brazil. Minas Gerais: erva-moura (Souza et al. s.n.), erva nome (Andrade 1209). Uses and common names attributed to S. americanum in Lorenzi and Abreu Matos (2021) and Ferreira Kinupp and Lorenzi (2022) may also apply to S. paucidens, although the photographs appear to be in large part S. americanum; there are no vouchers cited."
wfo-0001030581,"Peru. Ancash: atoqpa papan (Gamarra 416); Amazonas: hierba mora (García Llatas 8155); Lima: hierba mora (Vilcapoma 1649a, 5330)."
wfo-0001022221,"Not known.
"
wfo-0001022330,"Not known.
"
wfo-0001022346,"Mexico. Chiapas: yerbabuena (Spanish), ashinte (Tzeltal) (L. Bohs 3962); ch'ayok (Maya Lacandon) (M. Gonzá;lez-Espinosa 755); tumat tez (Tzeltal) (A. Méndez Ton 5132); ajchkintez (Tzeltal) (Alush Méndez Ton 6741); leaves eaten (S. Levy T. 43); quilete (Matuda 17477); zajchkintez (Tzeltal) (A. Méndez T. 5215); xote nuk (Mayan) (B. Paniagua 57); utz'ak abaker, ubojo ch'ayok' (B. Paniagua 264). Guerrero: Mixtec (K. Velazco-G. 40341). Veracruz: hierba mora, hierba mora cimarrona (W. Marquez R. 256, 275).
"
wfo-0001022289,"Not known.
"
wfo-0001027661,"Douce-amére (French); woody nightshade, bittersweet (English speaking Europe).
"
wfo-0001030867,"Olho de vaca; olho de boi (cow's eye, bull's eye - perhaps in reference to the globose fruits).
"
wfo-0001027770,"South Africa: Satansbos, Satanskruid (Afrikaans), Silver-leaf bitter apple (English) (Olckers et al. 1999; Henderson 2011).
"
wfo-0001025792,Bitter potato
wfo-0001027948,Bolivia. La Paz: chini chincha (Girault B. s.n.).
wfo-0001027812,Brazil. Rio de Janeiro: erva-moura (Andrade 274).
wfo-0001022216,"None recorded.
"
wfo-0001026486,China. ci bao qie (Zhang et al. 1994). Thailand. Nakhon Si Thammarat: ma uk pa (Rabil Bunnag 204); North: ma khûa chê pâ [Lao] (Winit Wanadorn 1424).
wfo-0001031270,"Argentina: Cardo, comida de vibora, espina colorada, guidilla de campo, putui, revienta caballos, tomatillo de campo (Spanish; Chiarini 2013). South Africa: Wildetamatie, tamatiedissel, digdoringbitterappel, doringtamatie (Afrikaans); dense-thorned bitter apple, wild tomato (English) (SANBI 2011).
"
wfo-0001027360,"Cambodia. plone lane [Khmer] (Chassagne 138), trâp krab [Khmer] (Hul and Dy Phon 2014); Indonesia. North Sumatra: tioeng (Toroes 1639), teroeng oetan (Toroes 2926); Malaysia/Singapore. t?rong puyoh, t?rong tikus, t?rong pipit (all meaning “little brinjal”, Burkill 1935); Vietnam. Dông Nai: blou xit [Mnong] (Pierre s.n.), cà co [Vietnamese] (Pierre s.n.)."
wfo-0001030548,"Vietnam. co chu (Muong, Hul and Dy Phon 2014)."
