Wfo,Use
wfo-0001027820,"In Amazonian Peru near Iquitos, the fruit and leaves are mixed with warm or cold water and used to wash skin for siso, a skin disease (Martin 1187). Natives of Amazonian Peru also crush the leaves in cold water to make an infusion used in a bath to treat bad luck (saladera; Lewis et al. 12281). The fruits are said to be eaten by natives in Dept. Amazonas, Peru (Berlin 1974, 2009). The lowland Quichua of Ecuador use this species to treat heart attacks and strokes (Neill et al. 7758). The Achuar Jívaro of lowland Ecuador scrape the bark into cold water and massage the limbs with the infusion to relieve swellings and prevent infection (Lewis et al. 12148)."
wfo-0001026534,"Widely cultivated for the edible fruits. The fruits are very popular in Latin America, where they are eaten raw and cooked in various dishes. The leaves are used medicinally as apoultice against sore throat in Ecuador (Filskov et al. 37010). For a more information on the uses of this species, see Bohs (1989c)."
wfo-0001027620,"The fruits, though acidulous, are pleasant-tasting and perhaps merit investigation as a fruit crop.
"
wfo-0001027618,"The fruits, though acidulous, are pleasant-tasting and perhaps merit investigation as a fruit crop.
"
wfo-0001027621,"The fruits, though acidulous, are pleasant-tasting and perhaps merit investigation as a fruit crop.
"
wfo-0001027864,Fruits used medicinally or eaten by aboriginal people.
wfo-0001030339,Fruits are edible.
wfo-0001020050,"The fruits are used as condiments in Bolivia (Steinbach 5373, Rivero 218), but on a lesser scale than other wild species (‘ulupica’ or ‘aribibi’). In Peru, fruits are used to prepare curare (Woytkowski 7516). The entire plant is used as a medicine."
wfo-0001032445,"Solanum virginianum is used medicinally in India in Ayurvedic treatments for stomach and respiratory complaints (Rao 1975), and used across the region where it occurs in local medicine for a variety of ailments, including to stimulate hair growth. The whole plant is considered highly medicinal (Singh 1988)."
wfo-0001025812,No uses recorded.
wfo-0001022366,"Not known.
"
wfo-0001030609,None recorded.
wfo-0001026308,No uses recorded.
wfo-0001030628,Used for firewood (Bohs et al. 3784).
wfo-0001027365,Cerón 301 reports that the bark is used to induce vomiting.
wfo-0001025741,"Used as a graft with the edible-fruited naranjilla, Solanum quitoense Lam. (Narvá;ez 446). According to Kunkumas RBAE184 the fruit is not edible."
wfo-0001032536,Uses. Ornamental shade tree.
wfo-0001022328,"Not known.
"
wfo-0001026325,Fruit  ground and used to treat scabies (G. Bourdy 2082). 
wfo-0001027583,"Jordan et al. (2006) report that the Plains Apache Native Americans may have utilized the fruits of S. dimidiatum in some aspects of their material culture; however, all parts of the plant are considered poisonous to humans and livestock. In cattle, it is known to cause &quot;crazy cow syndrome,&quot; a debilitating disease caused by the calystegine alkaloids present in this species (Menzies et al. 1979; Anderson 2002)."
wfo-0001026883,"Some accounts have reported that the dried fruits and roots have been used as a sedative, antispasmodic, diuretic, and aphrodisiac; and that poultices, ointments, and teas made from the fruits or leaves have been used for the treatment of epilepsy, sore throat, toothache, contact dermatitis, worms, and mange in dogs (Grieve 1974; Foster and Duke 1990; Yasuyuki et al. 2010). However, all parts of the plant are considered to be poisonous, and the glycoalkaloids contained in the mature fruits are known to be toxic to livestock (cattle, sheep) and humans (Muenscher 1951; Hulbert and Oehme 1963; Hardin and Arena, 1969; Hamilton 1980; Turner and Szczawinski 1991; Wink and Van Wyk 2008). Cipollini and Levey (1997) reported that mature fruits contained 10-30 mg/g dry mass of glycoalkaloids, primarily &alpha;-solasonine and &alpha;-solamargine. A case of fatal human poisoning was documented in 1963 when a 6-year-old boy in Pennsylvania died after eating the fruit of S. carolinense var. carolinense (Kingsbury 1964)."
wfo-0001029709,"Globally cultivated for the edible fruits. Solanum muricatum is believed to be native to the Andean region, and is only known from cultivation or as an escape from cultivation. Fruits of the cultivated plants are usually seedless. Green (unripe) fruits are cooked and eaten, the ripe ones are eaten raw. "
wfo-0001022561,"None known.
"
wfo-1000023513,"None known.
"
wfo-0001030949,"None recorded.
"
wfo-0001026539,Mexico: The fruits are red when ripe in March and April and eaten by birds (Gentry 5248).
wfo-0001032507,"Cultivated as an ornamental and for edible leaves and flowers. Solanum wendlandii is reportedly used in cooking in Guatemala (Leaves and flowers cooked fide Cosminsky 112 and 128) and the plants are reported in the Flora of Guatemala to be edible (Standley & Gentry, 1974). In at least one collection (Nee & Taylor 28770) from Veracruz, Mexico, however, it was noted that the fruits are not eaten. "
wfo-0001030155,"Fruits eaten by children (J. Campos, pers. comm.)"
wfo-0001029150,Ecuador: the leaves are used for pain relief and for healing of open wounds at joints. Leaves are applied to the affected joint (Kvist 40437). The flowers are crushed and rubbed on the body as a perfume (Kvist 40522). Used for a bath (baño de caliente) when feeling cold (Kvist 40691).
wfo-0001025856,"Leaves eaten as a vegetable (Brazil; as jiciri or juciri, Mentz & Oliveira, 2004); apparently the prickles soften with cooking."
wfo-0001025902,Cultivated as an ornamental.
wfo-0001029006,Cultivated as an ornamental.
wfo-0001022277,"Not known.
"
wfo-0001022278,"Not known.
"
wfo-0001030053,Potentially cultivated as an ornamental.
wfo-0001031144,Cultivated as an ornamental.
wfo-0001029205,Fruits are locally eaten.
wfo-0001028516,"Aboriginal food, the fleshy centre is scraped out and eaten. Sheep and cattle eat the fruits."
wfo-0001026661,"Fruits edible, medicinal uses recorded. "
wfo-0001026875,Fruits are edible. 
wfo-0001019783,"Species cultivated in horticulture for its beautiful flowers, leaves are also used in medicine or rituals for the powerful alkaloids."
wfo-0001019409,The highly poisonous berries can be used for medicinal purposes in right quantities.
wfo-0001019708,Horticulturally cultivated plant.
wfo-0001019742,Horticulturally cultivated plant.
