Wfo,Distribution
wfo-0001027735,"Endemic to Queensland. It is confined to Cape Melville on Cape York Peninsula. It grows on the edge of a granite boulder-field, adjacent to vine thicket."
wfo-0001027810,"In Australia, Queensland (Warrego, Mitchell, Gregory South, Gregory North), Northern Territory; in shrublands in arid zone."
wfo-0001026336,"In Australia, New South Wales (Central Tablelands), in shrubby eucalypt woodland, remote from rainforest."
wfo-1000020805,"Capsicum longifolium is endemic to northern Peru (Amazonas, Cajamarca, Junín and Piura Departments) and southern Ecuador (Zamora-Chinchipe Province); Capsicum longifolium is a plant of Andean montane wet forests, in the interior of primary forests in shady areas at mid-elevations (1,800–2,200 m)."
wfo-0001020215,"Capsicum rhomboideum is widely distributed from Mexico and Central America to northern Peru; ecologically adapted to different vegetation formations, but grows mostly in xerophytic thickets and dry forests or in tropical deciduous forests, at 250–2,500 (–3,000) m elevation."
wfo-0001020147,"Capsicum longidentatum is endemic to the core of the Brazilian Caatinga (Bahia, Mina Gerais, and Pernambuco States); Capsicum longidentatum is common at the base of the inselbergs, on granitic hillsides with shrubby open vegetation and in gallery forests along small rivers, between 250 and 900 m."
wfo-0001027416,"Only known from the Davis, Chinati and Chisos mountains of W Texas and the Sierra del Carmen in N Coahuila state, Mexico. It occurs sporadically on igneous soils and in sand or grvael streambeds, most above 1700 m.
"
wfo-0001027116,"Australia (New South Wales, Victoria, Northern Territory, Western Australia)."
wfo-0001029104,"Australia (Queensland, New South Wales, Northern Territory): Red earths in mulga (Acacia aneura) dominated communities, shrublands in arid zone."
wfo-0001030103,"Australia, Queensland: Leichhardt. Grassland or open woodland on cracking clays."
wfo-0001031715,"Australia, Northern Territory. Evergreen notophyll rainforest (no eucalypts), semi-deciduous vine forest on sand, laterite or granite."
wfo-0001026766,"Australia (Queensland, New South Wales): Red earths in mulga (Acacia aneura) dominated communities, shrublands in arid zone."
wfo-0001429741,"Australia (South Australia, Northern Territory), Shrublands in arid zone."
wfo-0001029654,Western Australia. Shrublands in arid zone.
wfo-0001338322,Western Australia.
wfo-0001026506,Western Australia.
wfo-0001028695,Western Australia.
wfo-0001030348,Western Australia. Shrublands in arid zone.
wfo-0001030098,"Australia (Northern Territory, Western Australia). Red earths in mulga (Acacia aneura) dominated communities, shrublands in arid zone."
wfo-0001027736,"South Australia, Northern Territory. Red earths in mulga (Acacia aneura) dominated communities, shrublands in arid zone."
wfo-0001030395,Western Australia.
wfo-0001026678,"Australia, New South Wales: North Coast, Central Coast, Central Tablelands, Central-west Slopes. Shrubby eucalypt woodland, remote from rainforest."
wfo-0001027781,"Western Australia. Red earths in mulga (Acacia aneura) dominated communities, shrublands in arid zone."
wfo-0001029458,"Australia, Northern Territory."
wfo-0001030052,Western Australia.
wfo-0001031585,"Australia, New South Wales: North Coast. Evergreen notophyll rainforest (no eucalypts), wet eucalypt forest with rainforest understorey, or rainforest margins."
wfo-0001030790,Western Australia.
wfo-0001030702,Western Australia.
wfo-0001027346,"Australia, New South Wales: North Coast. Evergreen notophyll rainforest (no eucalypts), wet eucalypt forest with rainforest understorey, or rainforest margins."
wfo-0001028845,Western Australia. Shrublands in arid zone.
wfo-0001030883,"In primary forests of the upper Amazon basin in Ecuador, Peru, Bolivia, and adjacent Brazil, 100 to 600 m. Quite common in eastern Peru in lighter areas along streams and rivers."
wfo-0001029059,"Widely distributed throughout tropical South America to Panama, in second growth situations from sea level to 1500 m."
wfo-0001027155,"Solanum comitis is endemic to the island of Java, Indonesia. No specific localities are recorded on the only two gatherings known of this species."
wfo-1000029963,"Doselia huilensis is known only from the Departments of Huila and Putumayo in southwestern Colombia; found in preserved or partially altered oak forests from 2,200 to 2,300 m elevation."
wfo-1000029961,"On the eastern slopes of the Andes in central Ecuador (Provinces Morona-Santiago, Napo, and Pastaza) and Colombia (Departments Putumayo and Caquetá); In premontane forest between 500–1,500 m elevation."
wfo-1000029962,"Doselia galilensis occurs in the western slopes of the eastern cordillera of the Colombian Andes and is only known from three localities in the municipality of Arcabuco (Department of Boyacá), the natural reserve “Reinita Cielo
Azul” (Department of Santander) and the Parque Natural Regional Bosque de Galilea (Department of Tolima). Grows in Andean tropical cloud forest from 1,500 to 2,300 m elevation."
wfo-1000029964,"Doselia lopezii is endemic to the pre-montane forests of the Colombian Andes in the departments of Antioquia, Caldas, Valle del Cauca and Risaralda; in mid-elevation moist forests from 1,700 to 2,100 m elevation."
wfo-0001029645,"Forests or forest clearings of eastern Andean slopes and adjacent lowlands in Ecuador, Peru, and Bolivia, 100-1300 m."
wfo-0001025845,"Forest and disturbed areas, especially in drier sites, Honduras to Panama, Colombia, and Venezuela, 0-900 m. All collections from Panama are from Tropical Moist Forest, sensu Holdridge et al. (1971).
"
wfo-0001030145,"Known only from two to three collections from Bahia and Pernambuco, Brazil; elevation unknown. Pickel 3200 collected from caatinga."
wfo-0001029364,"Known only from moist forest of western Bolivia in the Department of La Paz, 850-1700 m."
wfo-0001028021,"Solanum fragile is an Andean species, occurring from Peru (Depts. Ancash, Arequipa, Ayacucho, Cusco, Huancavelica, Lima, Moquegua, Puno, Tacna) to Bolivia (Depts. La Paz, Oruro, Potosí) and northern Chile (Regíon I [Tarapacá]); in grassy puna vegetation among rocks and at the bases of cliffs, from 2,165 to 4,500 m elevation."
wfo-0001029074,"In dry, deciduous forests and thickets in mountainous regions from the Sierra Madre Occidental in the Mexican state of Guerrero to Honduras and Nicaragua, from 1000-1500 m in elevation.
"
wfo-0001429592,"Solanum hunzikeri occurs in Argentina (Provs. Catamarca and Tucumán) and north to Bolivia (Depts. Chuquisaca and Tarija). The somewhat disjunct distribution is possibly due to loss or lack of the wet high elevation foggy grassland habitat in intervening areas; confined to wet cloud forests and foggy grasslands above 1,800 m elevation; it also grows in the ecotones between these vegetation types."
wfo-0001031065,"Through highland areas of the Brazilian Shield, in Goiás, Minas Gerais, and the Distrito Federal, Brazil. Within this area, the taxon is probably restricted to areas above 1000 m. In the Distrito Federal it occurs in several disturbed cerrado sites above 1000 m. There is some evidence that this species flowers after burning, which may be why it has persisted in disturbed cerrado areas in the Distrito Federal; these areas burn more frequently than well-preserved areas.
"
wfo-0001026307,"Solanum arenicola is one of the few morelloids known from lowland humid forests in South America. It can be easily distinguished from S. americanum, the only other similar morelloid species found in these habitats in its larger anthers (3–4 mm long versus less than 1.5 mm long) and its glandular pubescence. Specimens without locality information can be easily confused with S. nigrescens of Central and northern South America, S. aloysiifolium of middle to high elevations in Argentina and Bolivia or S. subtusviolaceum of low to middle elevations in Peru and Bolivia. Both S. arenicola and S. nigrescens have unbranched inflorescences, but S. arenicola differs in having longer anthers (3–4 mm long) compared to S. nigrescens (2–2.5 mm long) and in the possession of glandular hairs (S. nigrescens is eglandular). The anthers are similar in size and shape to those of S. aloysiifolium, but S. arenicola has unbranched inflorescences and glandular pubescence, while S. aloysiifolium has forked inflorescences (sometimes many branched) and is eglandular. Solanum arenicola differs from S. subtusviolaceum in having internodal inflorescences (versus leaf-opposed), much reduced calyx lobes to only 0.5 mm long (versus 2–3.5 mm long), and a more exserted style extending 2–3 mm beyond the anther cone at anthesis (versus 0–0.5 mm)."
wfo-0001028353,"Southern Spain and coastal northern Africa, along the Straits of Hercules (Straits of Gibraltar), usually growing in open, damp areas often along fences, 0-100 m."
wfo-0001027235,"Jeff Davis Co., Texas (USA) from 1350&minus;1820 m in elevation. The vegetation where it is found is typical of the northern Chihuahua Desert flora, with low scrub and grasses.
"
wfo-0001031880,"Extremely rare endemic of Madeira, known only from laurisylva (laurel forest) in the north of the island."
wfo-0001022276,"Guatemala (Alta Verapaz, Huehuetenango, and Quiché) and Mexico (Chiapas), in cloud forest, including oak forest, sometimes in disturbed or open areas, often on calcareous soil, 1300-2100 m.
"
wfo-0001022333,"Guatemala (Departments of Huehuetenango and Quiché), in cloud forest, 2400-3000 m.
"
wfo-0001030265,"Solanum paucidens occurs in southern Brazil (States of Espírito Santo, Mato Grosso, Minas Gerais, Paraná, Rio de Janeiro, Rio Grande do Sul, São Paulo, Santa Catarina), northeastern Argentina (Provs. Corrientes, Misiones) and eastern Paraguay (Depts. Alto Paraná, Central, Guairá). A plant of middle to low elevations in the semideciduous and evergreen Mata Atlântica and Selva Paranense, growing in swampy areas, forest edges and clearings and forest understory, from near sea level to 2,000 m in the Atlantic forest mountains."
wfo-0001030581,"Solanum pseudoamericanum occurs from southern Ecuador (Prov. Imbabura), throughout Andean Peru (Depts. Amazonas, Ancash, Apurímac, Ayacucho, Cajamarca, Cusco, Huánuco, La Libertad, Lima, Pasco, Piura) to northern Bolivia (Dept. La Paz). In the upper zones of seasonally dry tropical forests to mid-elevation montane forests, commonly growing in sandy soils in full sun or partial shade in disturbed sites such as landslides and roadsides or cultivations, often in moist depressions in otherwise dry areas, from (930-)1,700 to 3,200(-3,735) m in elevation. A single anonymous collection recorded as occurring at 100 m elevation in the Department of Lima may be a label error.
"
wfo-0001022221,"Mexico, states of Oaxaca and Veracruz, in selva mediana subperennifolia, selva alta perennifolia, bosque mesofilo de montaña, sometimes in sandy soil or on limestone, often in disturbed areas, such as secondary forest or coffee plantations, 450-1300 m in elevation.
"
wfo-0001022330,"Lycianthes gemniflora occurs in Mexico (states of Hidalgo, Oaxaca, Puebla, Veracruz) in cloud forest, tropical dry forest, oak and oak-pine forest, sometimes in disturbed habitats, secondary forest, slopes, coffee plantations, 800-2200 (3000) m.
"
wfo-0001022346,"Mexico, Guatemala, Belize, El Salvador, Honduras, Nicaragua, Costa Rica, and Panama, in tropical rainforest, tropical moist forest, tropical dry forest, cloud forest, rarely in shrublands, sometimes along streams or on limestone, common in secondary forest, agricultural areas (such as coffee plantations), and along roadsides, 0-1000 (2000) m in elevation, perhaps cultivated in some areas.
"
wfo-0001027452,"Weedy in grazed areas, along roadsides, and disturbed areas in dry forests from southern Arizona, USA through Mexico to Guatemala, Honduras, Nicaragua, and Costa Rica at elevations from 0-1550 m.
"
wfo-0001030081,"Weedy species of roadsides, rocky slopes, grassy areas, and forests in central southwest to easternBrazil, eastern to central Bolivia, eastern Paraguay, and northwestern Argentina between 115-2700 m in elevation.
"
wfo-0001032167,"A weedy species of roadsides, grassy pastures, gallery forest, alluvial flats, forest edges, and open shrubby vegetation found from central Bolivia to eastern Paraguay and the Brazilian state of Mato Grosso do Sul and south into northwestern Argentina at 300-1950 m in elevation.
"
wfo-0001025754,"The majority of collections of S. adscendens are from Rio Grande do Sul State in Brazil. A few collections exist from Misiones and Corrientes Provinces in Argentina, but these are found nearly on the border between the two countries. Solanum adscendens is a weedy species of interior forests and river banks as well as fields and roadsides (commonly ruderal) in seasonal deciduous forests at elevations from 0-600 (900) m.
"
wfo-0001022289,"Bolivia, Brazil, Colombia, Ecuador and Peru in tall, humid tropical forest, often in primary forest, in upland forest or near rivers or on floodplains in waterlogged soil or in swamp, 150-700 m in elevation.
"
wfo-0001030714,"Known only from the island of Hispaniola, primarily in the Dominican Republic, along forest edges on limestone and in cloud forests, from 120-1600 m elevation."
wfo-0001027661,"Widely distributed across Eurasia and northern North America, where it is also common; sea level to ca. 2000 m. The North American populations are thought to be introductions, but it is possible that the species has a truly circumboreal distribution.<em>Solanum dulcamara</em> is a weedy species and grows in a wide variety of temperate habitats, often associated with water and open places with abundant light. Although somewhat woody, it rarely reaches into the canopy but is more often found in thickets and sprawling in other low vegetation.
"
wfo-0001028834,"Australia, New South Wales: South Western Plains, South Far Western Plains."
wfo-0001030185,"Chile: Central Chile, Región V- Región X (but mostly Región VIII Región X because the coastal populations originally collected in Región V near Concón and Viña del Mar are likely extirpated, and the single extant population from Región VI is an apparent disjunct, and it is not known from Región VII), mostly found in the lower to mid slopes of the Andes Mountains, but also in the coastal range, in mesic habitats, often in areas of recent fires, in full sun or partial shade, in organic soils; 40-1170 m."
wfo-0001027929,"Chile: Masatierra Island; in mesic habitats of woods edges, shaded rock walls, valley bottoms; 100-610 m."
wfo-0001027872,"Chile: Central Chile, from Región V- Región IX, in the foothills and mid to upper slopes of the Andes Mountains; in areas of low, dry scrub forest, along streams or in the mists of waterfalls, always in full sun and usually in rocky soils, 4340-2500 m."
wfo-0001030867,"Endemic to the Cape Verde Islands, known from seven of the ten islands of the archipelago, on both the windward and leeward arcs; a few old collections from the Caribbean (see Discussion). Like most prickly solanum species, S. rigidum is a plant of disturbed and open areas and is somewhat weedy; it grows from sea level to 100 m.
"
wfo-0001031697,"Known only from the state of Goiás, Brazil. The Irwin collection from a disturbed open slope in the cerrado at an altitude of 700 m and blooming in January provides the only habitat data. This inconspicuous species could perhaps be common in disturbed cerrado vegetation of poorly collected central Brazil."
wfo-0001029646,"Widespread throughout central Mexico (southern Jalisco to Querétato and Veracruz), south to southeastern and south-central Guatemala, to southern Honduras; 1870-3050 m; growing almost exclusively as an epiphyte on horizontal branches of mature Arbutus, cyprus, elm, juniper, pine, or oak trees, often in moss and organic litter. Occasionally the species is found on the ground in the woods, in rotting wood of fallen trees, or in moss, like its sister taxon S. clarum. Spooner et al. (1998) were unable to locate S. morelliforme at some previously documented localities that had been logged and reforested, and the range of this species may have been reduced by deforestation. The southernmost record of S. morelliforme, Molina & Molina 26100, was collected in Honduras in 1961, the only record for that country. Antonio Molina (EAP) kindly led Spooner and collaborators back to the exact spots where he originally collected it in small valleys off the main road from Tegucigalpa to Lapaterique. One of these was at a place called Las Tablas at 1600 m, at 14º03.95’N, 87º22.73’W, and the other at Quebrada Honda, at 1610 m, at 14º03’56”N, 87º24’44”W. The species was no longer present in this area and Spooner et al. (2004) could not find it in other nearby sites."
wfo-0001031852,"Mexico. Jalisco and Michoacán, (1800) 2000-2800 (3050) m; in cultivations or fallow fields, grazed fields, in areas of pine and oak forests, in sunny to shady areas."
wfo-0001027104,"Mexico: Chiapas; Guatemala; 2740-3800 m; typically growing in moss in upland pine and fir forests, frequently associated with Acaena elongata L., Alchemilla pectinata HBK, or Pernella ciliata (Schltdl. and Cham.) Small. Populations often contain hundreds of individuals in all stages of development, from emerging plants to plants with mature fruits, but fruiting plants can be scarce."
wfo-0001028429,"Mexico: northeastern Mexico, states of Coahuila, Nuevo León, San Luis Potosí, Tamaulipas, (1230) 1650-3210 m; growing in and at borders of cultivations, in pine, oak, juniper, or Opuntia forests, bushy hillsides, grasslands, fencerows."
wfo-0001028737,"USA: southern Utah and S Colorado, New Mexico, Arizona, southwestern Texas; Mexico: N Sonora and N Chihuahua, and disjunct populations in Querétaro and San Luis Potosí; among boulders on hillsides, sandy alluvial stream bottoms, in gravel along trails or roadways, rich organic soil of alluvial valleys, sandy fallow fields, grasslands, juniper-pinyon scrub deserts, oak thickets, coniferous and deciduous forests; 1370-2870 m."
wfo-0001032344,"Widely distributed throughout Mexico from the northeast (Coahuila, Nuevo León, San Luis Potosí), to central Mexico and south to Oaxaca, (1870) 2100-3500 (4000) m; often in cloud forests, in rich soil in alder, fir, pine, and oak forests, among bushes, roadsides, clearings in woods, among grasses.
"
wfo-0001031486,"Southwestern U.S.A. (Arizona, New Mexico, SW Texas); to Oaxaca, Mexico, (1040-) 1440-3400 (-3700) m; among boulders on steep hillsides, sandy alluvial stream bottoms, in gravel along trails or roadways, in thick leaf mulch under trees, at edges of cultivations or fallow fields, along fencerows and railways, in organic moist soil to dry sandy soils, in grasslands, juniper-pinion scrub, desert tropical deciduous forests, to fir, pine, juniper or oak forests."
wfo-0001029121,"Central Costa Rica to western Panama, (1050-) 1400-3300 m; in wet habitats, in organic soils, in full sun or partial shade, in openings of cloud forests, often among oaks or pines, marshy grasslands, including disturbed habitats such as landslides, streamsides, road cuts, moist garbage heaps, recently plowed soil in forest clearings, recently burned forests, roadside ditches, forest edges, or on rotting tree stumps. When growing in primary forests, it occurs near sunny openings such as paths or streams or tree falls.
"
wfo-0001028263,"Known only from the type in Guerrero, Mexico; elevation not recorded; in pine-oak forests."
wfo-0001025646,"Mexico (Distrito Federal and state of México), 2280-3000 m; among grasses and bushes or abandoned fields in areas of pine or oak forests."
wfo-0001031400,"Northwestern Mexico (N Chihuahua and Sonora) south along eastern and central Mexico to Michoacán and México; (1100-) 1380-2500 m, cultivations, tropical deciduous forests, oak forests, streamsides, savannas, mesquite grasslands, dry rocky hillsides, often in dry sandy rocky soils, or in richer organic soils, in areas of oak, pine, and Acacia forests."
wfo-0001025642,"Mexico (Michoacán), 1900-2100 m; in area of tropical deciduous forest among grasses and shrubs and cacti of old lava fields, growing in areas where S. bulbocastanum and S. pinnatisectum grow."
wfo-0001028698,"Widely distributed from central Mexico (Jalisco to Querétaro), south to Oaxaca, 1700-3350 m; in rich organic soil, along roadsides, among bushes, edges of cultivations, in areas of alder, pine, oak, and fir forests."
wfo-0001025645,"Mexico (Guanajuato and Querétaro), 1720-2200 m; in and at margin of cultivations, tropical deciduous forests, fencerows, rock piles, among thorny bushes, mesquite grasslands."
wfo-0001032532,"Endemic to western Panama on the E-facing slope of Volcá;n de Barú (Volcá;n de Chiriquí), 3000-3500 m; clearings in dense rainforests with Chusquea, in rich organic soil.
"
wfo-0001028405,"Central Mexico, states of Colima, Guanajuato, México, 1700-2800 m; along stream banks in areas with pine and oak forests, rocky hills in juniper woods."
wfo-0001030426,"Central Mexico, states of Guanajuato, Jalisco, Michoacán, Querétaro, 1500-2200 m; frequently in cultivations or fallow fields, roadsides, tropical deciduous forests, mesquite-grasslands."
wfo-0001029055,"Mexico: Oaxaca, 2100-2390 m; in areas of alder, pine and oak woods, in clearings along roadsides or in shade."
wfo-0001030516,"Widespread throughout central Mexico (Jalisco to Querétaro and Hidalgo) to southern Mexico (Oaxaca), 1900-2900 m; deciduous tropical forests, fallow fields, in grassy areas among bushes, Agave, and Opuntia and along fencerows, in areas of fir, oak, and pine forest."
wfo-0001025788,"Southern Mexico (Chiapas), southeast through Guatemala and central Honduras, 1800-3400 (3800) m; in wet habitats, in organic soils, in full sun to partial shade, often in openings of cloud forests. Common habitats include recently logged or otherwise recently disturbed areas in valleys, streamsides, upland marshes, or roadside ditches."
wfo-0001030147,"Mexico (Hidalgo, Oaxaca, Puebla, Veracruz), (1520) 1870-2870 m; in wet habitats, often in openings of cloud forests, often in pine and oak, in organic soils, in full sun to partial shade, growing among shrubs and in pine-oak-alder forests, frequently in pockets of volcanic rocks, often growing among ferns and mosses.
"
wfo-0001031667,"Mexico: only widely scattered collections are known from Hidalgo, Querétaro and Veracruz, 2000-2600 m; in and at margins of cultivations, pine and oak forests, among maguey, among scrub vegetation and rocks, roadsides."
wfo-0001026695,"Only one population is known: MEXICO. Jalisco. Mpio. Tala, road between the ranch and arroyo Presitas, University of Guadalajara School forest “La Primavera.” 1450 m, 1 Aug 1991, A. Rodríguez & O Vargas 2104 (IBUG)."
wfo-0001027765,"Central Mexico, states of Aguascalientes, Guanajuato, Hidalgo, Jalisco, México, Michoacán, Nayarit, Puebla, Querétaro, San Luis Potosí, Zacatecas, and Distrito Federal, (800) 1450-2500 m; in and about cultivations, xerophytic scrublands, tropical deciduous forests, mesquite grasslands, or in areas of oak and pine forests."
wfo-0001025639,"Mexico, Distrito Federal and states of Guanajuato, Hidalgo, México, Michoacán, Puebla, Tlaxcala, Veracruz, 2050-3560 m; a weed in and at the edges of potato fields, in areas where S. demissum grows, or spread away from these fields along roadsides or fencerows, or among bushes."
wfo-0001031097,"Mexico (Querétaro south to Puebla and Oaxaca), (1780-) 2420-2900 (-3700) m; rich soil of oak and pine forests, fencerows, among bushes."
wfo-0001027483,"Widely distributed from northern Mexico (Chihuahua and Sonora) to Guatemala, (1900) 2100-3700 m; generally at higher elevations in fir and pine or oak or alder or juniper forests, often in very rich organic soil in clearings or edges of dense forests but sometimes in deep shade, among shrubs and forest undergrowth, roadside thickets, grasslands."
wfo-0001028465,"Eastern and central Mexico, states of Colima, Guerrero, Jalisco, Michoacán, 1600-3135 m; at edges of cultivations, roadsides, grasslands, in areas of alder and fir and pine and oak forests."
wfo-0001026858,"Rare in northern Mexico (Durango), then widespread from central Mexico (Jalisco, Aguascalientes, and Zacetecas), south to Oaxaca; 1320-2800 m; in and about cultivations, or in sandy or rocky ground, or rich soil, streamsides, grassy fields, in areas of tropical deciduous forests, or mesquite grasslands, or oak or pine or alder forests, xerophytic scrublands."
wfo-0001026696,"Widespread from northwestern Mexico (Durango and Nayarit) south to Honduras; 1200-2300 m; among grasses, cacti, tropical deciduous forests, scrub and oak forests, pine forests, often in shallow or dry rocky soil, steep rocky slopes, among piles of stones or along fencerows, railroad tracks, sometimes in cultivations."
wfo-0001030167,"In primary and secondary rainforest habitats in the Pacific lowlands of Ecuador; 50-380 m in elevation.
"
wfo-0001029088,"Endemic to Sucumbíos Provinces (historically part of Napo Province), Ecuador, near the Laguna de Limoncocha, where it grows in terra firme primary forests and clearings; 240-300 m in elevation
"
wfo-0001027378,"Endemic to Colombia (Depts. Cauca, Quindío and Tolima); 2,400-3,500 m in elevation
"
wfo-0001030311,"Colombia, Venezuela, and Costa Rica. It is usually terrestrial, but occasionally grows over fallen logs; 600-1,700 m in elevation.
"
wfo-0001030342,"In the understory of wet forests and in clearings from southern Mexico (Chiapas), Guatemala, Belize, Honduras, Costa Rica, to Panama. It is usually terrestrial, but occasionally grows on fallen logs or as an epiphyte; 500-2,900 m in elevation. A single collection is known from Peru.
"
wfo-0001031864,"Endemic to Ecuador and is only known from the western slopes of the Andes in Bolívar Province; 2,600-3,000 m in elevation.
"
wfo-0001027184,"Known only from Bolivia in the Departments of Santa Cruz and southeastermost La Paz, in cloud forests along the eastern Andes, with Podocarpus parlatorei Pilg., Prumnopitys exigua De Laub. & Silba (Podocarpaceae), Ceroxylon parvum G. Galeano (Arecaceae), Ternstroemia asymmetrica Rusby (Theaceae), Weinmannia spp. (Cunoniaceae), Blepharocalyx salicifolius O. Berg (Myrtaceae), and the tree fern Dicksonia sellowiana (Presl) Hook. (Dicksoniaceae), from 1800 to 3330 m."
wfo-0001027770,"Native to the Americas, with an amphitropical distribution, occurring in the deserts and dry zones of the northern hemisphere in the southwestern United States and Mexico and in the southern in Argentina and Chile, but widespread and invasive in tropical and subtropical regions worldwide. It is toxic to livestock and very hard to control, as rootstocks less than 1 cm long can regenerate into plants (Invasive Species South Africa 2012). Introduced and invasive in drier habitats in southern (South Africa and Namibia) and northern (Morocco and Egypt) Africa, in South Africa classified as a noxious weed (Henderson 2011; Invasive Species South Africa 2012) and a quarantine pest in northern Africa (OEPP/EPPO 2007); also known from dry areas around the Mediterranean.
"
wfo-0001025638,"Only from northern Argentina (Prov. Jujuy), in generally dry rocky areas or among shrubs or cacti, or at the edges of cultivations or roadsides, in and close to cattle dwellings and enclosures or along streamsides; 3100-4000 m in elevation."
wfo-0001026203,"Throughout Ecuador and in adjacent southern Colombia, near creeks, among herbs or shrubs. Diploid populations usually grow between 1900-3700 m and polyploid populations between 2200-4000 m in elevation."
wfo-0001025669,"Widespread and common in upland habitats from northern Peru (Dept. Cajamarca), south through Bolivia to northern Argentina (Prov. San Juan), and with one record in northern Chile (Antofagasta Region), on dry rocky hillsides, high puna, among herbs, spiny shrubs and low woods, along streamsides, dry river beds and alluvial cones, (2000) 2400-4700 m in elevation."
wfo-0001026607,"Southern Peru (Depts. Apurímac and Cusco) to northwest Argentina, in high dry mountain rocky slopes, among bushes and large tussocks or on bare soil, growing close to and within cattle enclosures, along mountain roads and paths, edge of fields, sometimes as a weed, along streamsides; 1600-4270 m in elevation."
wfo-0001025636,"Northern Argentina (Provs. Jujuy, Salta and La Rioja), in generally dry rocky areas, in railway embankments, among spiny shrubs or cacti, at the edges of cultivations or roadsides, along streamsides and ditches, close to stone walls of cattle enclosures as well as on bare soil; (2690) 3000-4000 (4020) m in elevation."
wfo-0001025869,"Endemic to central Peru (Dept. Huancavelica), on steep rocky slopes and talus slopes, among cactus, <em>Stipa ichu</em> and other herbs, 3000-3900 m in elevation.
"
wfo-0001029785,"Northern Argentina (Provs. Jujuy and Salta), in dry rocky areas along roadsides, among bushes and large tussocks, in the shade of boulders, or on steep grassy slopes, (2530) 3100-3600 (3800) m in elevation."
wfo-0001027035,"Ecuador (Provs. Azuay and Pichincha), north and central Peru (Depts. Amazonas, Ancash, Cajamarca, Huánuco, La Libertad, Lima, Junín, Pasco and San Martín). Solanum chomatophilum is found in a wide diversity of habitats: along streamsides, on rocky or eroded slopes, poor soils or rich organic soils, on wet shrubby habitats, or in the sub-paramos, punas and grasslands, among herbs, shrubs or trees; 1950-4800 m in elevation, with the majority of the populations growing between 3200-4000 m."
wfo-0001029334,"Occurs widely in Argentina (Provs. Buenos Aires, Corrientes, Chaco, Entre Ríos, Formosa, Misiones, Santa Fé), Brazil (Río Grande do Sul), Paraguay (Boquerón, Central, Presidente Hayes, Itapará, Cordillera), Uruguay (Colonia, Maldonado). In palm forests, in or at the edges of woods, in cleared woods or inundated savannas, or as a weed in cultivations of maize, manioc, sweet potato, cotton, potato, sorghum, or Citrus plantations, in disturbed soil, coasts of rivers, 0-330 m in elevation."
wfo-0001027157,"Widely distributed in southern Brazil, Uruguay, and northeastern Argentina; sandy dunes near the coast, dense grasslands, in woods (low woods as well as among Araucaria angustifolia and palm trees, Butia yatay) at the foot of low hills, sea shore, in harvested fields and roadsides; from sea level to 400 m."
wfo-0001028888,"Western and northwestern Argentina (Provs. Mendoza, San Juan, La Rioja and Catamarca), in dry rocky hillsides, desert steppes and among herbs, spiny shrubs and low woods, along streamsides, dry river beds and alluvial cones, (750) 1400-2100 (3000) m in elevation."
wfo-0001030271,"northern Peru (Depts. Cajamarca, Piura), among bushes, in moist or poor soils, in slopes near crop fields, 2350-3360 m in elevation."
wfo-0001025697,"Central Peru (Depts. Huánuco and Pasco), on creeks in the Andes, growing on rich soils, among herbs or shrubs, 2025-3800 m in elevation."
wfo-0001031484,"Endemic to Bolivia, from Dept. La Paz south to Dept. Chuquisaca, occuring in a wide range of habitats, in full sun or in partial shade, typically in moist areas, on rocky slopes, among bushes, in scrub or thorn forests, in or at the edges of forests, in cultivations; 2000-4000 m in elevation.
"
wfo-0001030444,"Endemic to northern Peru (Dept. Piura), among bushes and rocks but also in humid soils, 2000-3360 m in elevation."
wfo-0001027223,"Peru (Dept. Cajamarca), on rocky or eroded slopes, poor or rich soils; 2150-2900 m in elevation.
"
wfo-0001032308,"Northern Argentina (Provs. Catamarca, La Rioja, Jujuy, Salta and Tucumán), in humid steep grassy slopes, or among Alnus and Polylepis woods, or at the edges of fields and roadsides, river terraces, stone fences or among boulders; 1900-3000 m in elevation."
wfo-0001029789,"Central Peru (Department of Lima) in the coastal lomas, growing among rocks, often on slopes, in sandy or rocky soils, 200-750 m elevation."
wfo-0001029417,"From central Peru (Dept. Ancash) south to northern Chile in Regions I (Tarapacá) and II (Antofagasta), along the western slopes of the Andes; growing in a variety of sunny habitats along the dry coastal lomas to high frigid areas near snow fields and among Stipa ichu grasses in the puna. The most frequently mentioned habitat characteristics are apparently poor soils in rocky and sandy areas, but it has been collected along field margins and streamsides; 200-3800 m in elevation."
wfo-0001031071,"Endemic to central Peru (Dept. Huánuco), on rocky slopes among bushes, 2800-3340 m in elevation."
wfo-0001029601,"Peru (Depts. Ancash, Cajamarca, La Libertad, Lambayeque, Lima and Piura), in two disjunct habitats, in lomas on the coast from 150-800 m in elevation and in dry rocky soils on the mountains from 1170-3000 m."
wfo-0001026400,"Central Peru, Dept. Ancash, on rocky slopes, 3200-3800 m in elevation."
wfo-0001025637,"Only known from northern Peru (Depts. Ancash, Cajamarca and La Libertad), on eroded slopes, near field crops in dry soils, 2700-3260 m in elevation."
wfo-0001025906,"Central Peru (Dept. Ancash), in xerophytic habitats, on poor rocky soils, among cactus and bromeliads, 1720-2800 m in elevation."
wfo-0001028532,"Peru (Depts. Ancash, Cajamarca, La Libertad and Lima), among rocks, sandy soils, lomas and around crop fields, 80-3700 m in elevation."
