Wfo,Conservation
wfo-0001020034,"EOO (1,032.864 km2); AOO (32 km2). Capsicum cardenasii is a geographically isolated species from the dry valleys of Luribay (Prov. Loayza), not far from La Paz; based on its extent of occurrence and the number of localities (6), it is assigned a status of Endangered (EN; B1ab(iii,iv)). It is harvested by local people; its area of distribution is poorly known."
wfo-0001020140,"EOO (255,067.790 km2); AOO (252 km2). Capsicum lanceolatum has a large extent of occurrence; however, based on its small area of occupancy, the continuing decline of the number of locations, the extreme fluctuations observed in the number of mature individuals in the subpopulations and the demonstrated extinction of this species in many natural habitats (Bosland and González 2000), we assign this species the Endangered (EN; B2b,c(ii,iii,iv)) status."
wfo-0001020080,"EOO (365.297 km2); AOO (24 km2). Capsicum eshbaughii has a small geographical extent and area of occupancy and is known from only 10 collections, the majority of them from Samaipata and surroundings. As far as we know, this species is only found in anthropogenically disturbed areas in small subpopulations, thus we assign C. eshbaughii the threat status of Endangered (EN; B1ab(ii,iii)). Recently, C. eshbaughii was found in new sites around Samaipata."
wfo-0001020108,"EOO (1,120,997.593 km2); AOO (380 km2). Capsicum geminifolium is very common across its range and it is also found in many protected areas. We assign the status of Least Concern (LC)."
wfo-0001030658,"(IUCN 2019). Least Concern (LC). EOO (996,977 km2, LC); AOO (272 km2, EN). Like many other spiny solanums in tropical Asia, S. pubescens is widely distributed in a variety of habitats, although the AOO suggests some concern, this is a common species."
wfo-0001341734,"Based on IUCN (2014) guidelines -Endangered (EN) B1, B2 ab (ii, iii, iv); EOO 1,136 km<sup>2</sup> (EN); AOO 20 km<sup>2</sup> (EN). Solanum filirhachis is currently known from only five localities, and all collections are from within private properties, where agriculture (both large and small scale) is known to occur. Despite the fact that it inhabits higher elevations that are usually harder to access and not always suitable for agriculture, we strongly recommend that further efforts to map new populations of the species should be undertaken, mainly within protected areas with similar forest types. Although the type locality of Santa Teresa in central Espirito Santo has several well preserved fragments of forest, the landscape has been rapidly transformed in the last few decades to Eucalyptus and coffee plantations, and summer vacation homes (cottages).
"
wfo-1000020804,"EOO (2,627.651 km2); AOO (12 km2). Considering the extent of occurrence, the area of occupancy, the few localities (3) where it was collected and the decline observed in its geographic range, we assign C. benoistii the Endangered (EN; B1+2ab(i,ii) category. The species has not been collected since 1978 despite recent intensive field explorations in the same locations (Barboza et al. 2019)."
wfo-0001020153,"EOO (224,147.836 km2 – LC); AOO (492 km2 – EN). Capsicum lycianthoides is widely distributed along the Colombian and Ecuadorian Andes and is a common species where it occurs. Based on the EOO and AOO and that many collections have been made in different official and private protected areas in recent years, we assign this species the Least Concern (LC) status."
wfo-1000021598,"EOO (47,806.378 km2); AOO (32 km2). Based on the EOO and AOO, C. regale is considered Endangered (EN B2a,b iii). Although this species has been collected in some protected areas, the habitat quality outside of these reserves is susceptible to human disturbance, such as crop planting and high levels of deforestation (Barboza et al. 2020b)."
wfo-0001020173,"EOO (101,632.300 km2); AOO (108 km2). Capsicum minutiflorum has a relatively large extent of occurrence growing in more than ten localities; it can be assigned the preliminary Least Concern (LC) category. However, this species is of some conservation concern because of its relatively small AOO and the small number of records in protected areas (Amboro National Park, Santa Cruz)."
wfo-0001020086,"EOO (778,640.645 km2); AOO (1,348 km2). Capsicum flexuosum is quite abundant throughout its distribution. Based on the EOO, the AOO and its presence in many conservation units, we consider C. flexuosum is not under risk and assign the category of Least Concern (LC)."
wfo-0001020250,"EOO (1,422.442 km2); AOO (28 km2). Capsicum tovarii occupies a very narrow geographic range in Central Peru. Based on its EOO, AOO and the few nearby locations where it was found, none of them in protected areas and considering that the quality of the habitat will decline by the increased agricultural development, we assign the Endangered (EN; B1+B2ab(iii)) status to this species."
wfo-0001020030,"EOO (58,586.312 km2); AOO (212 km2). Capsicum campylopodium is a relatively widespread species that occurs in many formally protected areas, such as Parque Nacional da Tijuca, Parque Estadual da Pedra Branca, Estação Ecologica Estadual de Paraiso, Reserva Ecologica de Rio das Pedras, Parque Municipal Ecológico da Prainha, Estação Biológica Caratinga, amongst others. Based on the extent of occurrence and the number of localities (ca. 50), we assign a category of Least Concern (LC). However, most collections are from a much-visited place in Rio de Janeiro (Parque Nacional da Tijuca) and from Serra dos Órgãos, with a serious problem of forest fragmentation in some areas which may represent a threat to this species."
wfo-1000029585,"EOO (1.205 km2); AOO (8 km2). Capsicum mirum is the species with the narrowest extent of occurrence in the genus and with only three collections probably belonging to a single population. The species has been collected in an unprotected clearing of the Atlantic Forest where a continuing decline of the mature individuals has been observed. According to IUCN criteria, C. mirum is proposed as a Critically Endangered species (CR; B1ab; C2a(i))."
wfo-0001028396,"Solanum hieronymi is distributed across a large area in Bolivia, Paraguay, and northern Argentina. It grows in highly disturbed habitats, and it is doubtful that there will be any significant reduction in population size or locations. With an extent of occurrence of ca. 820,000 km<sup>2</sup> and area of occupancy of 1,248 km<sup>2</sup>, Solanum hieronymi is assigned a preliminary conservation status of &quot;least concern&quot; (LC).
"
wfo-0001028814,"While Solanum juvenale is restricted to central and northern Argentina, it nevertheless has a large distribution. It typically grows in highly disturbed habitats, and it is estimated that there will not be any significant reduction in population sizes or locations. With an extent of occurrence of ca. 650,000 km<sup>2</sup> and area of occupancy of 784 km<sup>2</sup>, Solanum juvenale is assigned a preliminary conservation status of &quot;least concern&quot; (LC).
"
wfo-0001027187,"Solanum comptum is known from ca. 21 populations in Paraguay and northern Argentina. This weedy and invasive species grows in disturbed habitats and it is doubtful that any significant reduction in population size or locations will occur. With an extent of occurrence of ca. 200,000 km<sup>2</sup> and area of occupancy of 464 km<sup>2</sup>, Solanum comptum is assigned a preliminary conservation status of &quot;least concern&quot; (LC).
"
wfo-0001025694,"According to the IUCN Red List Categories (IUCN 2010) Solanum achorum is classified as VU- B2a+B2biii; D2 (Vulnerable). The extent of occupancy is estimated to be approximately 30, 000 km<sup>2</sup> with less than 10 collected locations. The conservation status of Solanum achorum is similar to that of Solanum rubicaule with respect to the potential of more unidentified specimens in herbaria, more specimens as a result of increased collecting efforts, and the difficulty of assessing future habitat as deforestation continues.
"
wfo-0001026912,"EOO = 0.25 km2 [CR – Critically Endangered]; AOO = 4 km2 [CR – Critically Endangered]. We assess Solanum caumii as CR (Critically Endangered) using IUCN Criteria of B1,2a,b; populations may be secure on the isolated island of Nihoa that is largely protected, but no recent studies on population stability have been undertaken. Recognition of S. caumii at the species level has conservation consequences. Symon (1999) included S. caumii within S. nelsonii. At that time S. nelsonii was listed as vulnerable; segregation of S. caumii the species may change the status of S. nelsonii. Threats to S. caumii include habitat destruction from natural causes and herbivory by an introduced grasshopper (Mitchell et al. 2005)."
wfo-0001030067,Widespread. Not considered at risk.
wfo-0001032351,Data deficient. 
wfo-0001026924,"Although very restricted in Queensland, this species is common and widespread in central Australia."
wfo-0001031721,Widespread. Not considered at risk.
wfo-0001029087,"Applying the IUCN guidelines (IUCN, 2001), a category of “Vulnerable” is recommended (VU B1ab(ii,iii)+2ab(ii,iii); C2a(i)). Most of the remaining populations are under direct threat from Lantana camara, which out-competes it."
wfo-0001028773,"Solanum johnsonianum can no longer be found at most of the localities where it has been previously collected. It is currently only known from 3 locations, including the Brigalow Research Station, where the species is under threat from abnormally intensive grazing by wallabies. The other two populations are threatened by weeds (pasture grasses) and land clearance. No population is protected within a conservation reserve. Applying the IUCN guidelines (IUCN, 2001), a category of “Endangered” is recommended (EN A3c; B1ab(iii,v)+2ab(iii,iv,v); C1). Etymology: Named for Robert W. Johnson, former Director of the Queensland Herbarium, and an assiduous collector of solanums, including almost all the specimens of this species."
wfo-0001032368,Widespread. Not considered at risk. 
wfo-0001031178,Widespread. Not considered at risk. 
wfo-0001029771,Widespread. Not considered at risk.
wfo-0001032183,"Data deficient. Etymology: From the Latin ultimus, meaning ‘most distant’. This refers to the geographical remoteness from the eastern Australian coast, where its relatives are located."
wfo-0001028666,"Solanum innoxium is currently known from 3 locations. It does not occur in a conservation reserve. It is threatened by land clearance and weeds. Applying the IUCN guidelines (IUCN, 2001), a category of “Vulnerable” is recommended (VU A3ce; C1). Etymology: From the Latin innoxius, meaning ‘harmless’. This is in reference to the lack of prickles on plants of this species."
wfo-0001027606,"IUCN, 2001: Critically Endangered (CR A3ce; B1ab(iii,v)+2ab(iii,v); C1+2a(i,ii); D) - S. dissectum is currently known from a total of 17 mature individuals at one locality, and this locality is not protected within a conservation reserve. Three specimen labels include comments indicating the probable imminent demise of that population of S. dissectum viz. “cleared Brigalow scrub”, “pulled Acacia harpophylla regrowth”, “recently burnt, pulled brigalow suckers”. Major threats are continuing land clearance, and invasion of habitat by exotic species of grass, introduced as cattle fodder. This species is undoubtedly the one closest to extinction in Queensland."
wfo-0001029234,"Solanum lythrocarpum is known from two localities, neither of which is within a conservation reserve. Applying the IUCN guidelines (IUCN, 2001), a category of “Vulnerable” is recommended (VU D1+2). In the Coominglah State Forest, less than 300 plants are known; 30-40 plants occur at the Mundubbera site. "
wfo-0001031512,Widespread. Not considered at risk.
wfo-0001027510,Moderately widespread. Not considered at risk.
wfo-0001027009,Widespread. Not considered at risk.
wfo-0001026987,Data deficient.
wfo-0001028982,Moderately widespread. Not considered at risk.
wfo-0001027930,Widespread. Not considered at risk.
wfo-0001026870,"Currently listed as “Vulnerable” under the Queensland Nature Conservation Act, 1992. Solanum carduiforme is restricted in its area of occupancy, but has been collected several times in recent years. It is conserved in Lawn Hill National Park. The only perceived threat to its continued existance is the small population size. Applying the IUCN guidelines (IUCN, 2001), a category of “Near Threatened” is recommended."
wfo-0001028298,Widespread. Not considered at risk. 
wfo-0001030244,Widespread. Neither subspecies is considered at risk.
wfo-0001027601,Not considered at risk.
wfo-0001031217,Moderately widespread. Not considered at risk.
wfo-0001027232,"IUCN, 2001: Vulnerable (VU A4ce; B1ab(iii)+2ab(iii)): S. coracinum is known from seven localities, none of which is within a conservation reserve. "
wfo-0001028788, Widespread. Not considered at risk. 
wfo-0001025875,Widespread. Not considered at risk.
wfo-0001028690,Moderately widespread. Not considered at risk. 
wfo-0001031389,Widespread. Not considered at risk.
wfo-0001029945,"Applying the IUCN guidelines (IUCN, 2001), a category of “Vulnerable” is recommended (VU B1ab(ii,iii)+2ab(ii,iii); C2a(i)). In the early 1900s, several collections were made from relatively low altitudes. No populations can now be found at these localities, which could indicate that they have been unable to compete with the pernicious weed Lantana camara, and hence driven to extinction. However, several populations persist at altitudes beyond the climatic tolerance of Lantana. It is conserved in Gibraltar Range National Park and may be present in other conservation reserves."
wfo-0001031363,"S. sporadotrichum is listed as “Rare” under the Queensland Nature Conservation Act, 1992. The species is more widespread than was known in 1992, and Bean (2004) does not consider it to be currently at risk."
wfo-0001027131,"IUCN, 2001: Near Threatened. Solanum cocosoides has been collected from 4 locations in central Queensland. It is not known from a conservation reserve. Land clearance is a minor threat."
wfo-0001031511,"Solanum stupefactum is currently known from a few locations. It is not known from a conservation reserve. It is threatened by land clearing and competition from weeds, particularly Lantana camara. Applying the IUCN guidelines (IUCN, 2001), a category of “Vulnerable” is recommended (VU B2ab(ii,iii); C1)."
wfo-0001030877,"Still moderately common in some areas, and not currently considered at risk. Etymology: From the Latin rixosus meaning quarrelsome. This refers to the differences of opinion of various botanists regarding the taxonomic status of this species."
wfo-0001027944,Conservation status: Not considered at risk. 
wfo-0001027447,Not considered at risk.
wfo-0001027646,"IUCN, 2001: Vulnerable (VU D1+2) - S. dryanderense is known only from Mt. Dryander near Proserpine, where it is protected within a National Park."
wfo-0001028059,Widespread. Not considered at risk.
wfo-0001028546,Not considered at risk.
wfo-0001029244,Widespread. Not considered at risk.
wfo-0001028025,"IUCN Species Survival Commision 2001. IUCN Red List Categories and Criteria: Version 3.1. Gland, Switzerland and Cambridge, UK: IUCN."
wfo-0001027735,"Data deficient. Etymology: from the Greek dysprositos, meaning hard to get at. This is a reference to the difficulty in accessing the Cape Melville area, where the species is endemic."
wfo-1000020805,"EOO (67,266.225 km2); AOO (24 km2). Although C. longifolium has been collected many times in San Francisco Biological Reserve (SFBR, Zamora-Chinchipe, Ecuador), it is known from only five other locations in areas not included in the National System of Protected Areas where the quality of its habitat probably will decline. Based on this, we suggest a status of Vulnerable (VU; B2ab(iii)."
wfo-0001020215,"EOO (7,747,997.619 km2); AOO (1,964 km2). Capsicum rhomboideum is widespread from Mexico to Peru; we assign the Least Concern (LC) status."
wfo-0001020147,"EOO (275,449.384 km2); AOO (92 km2). Capsicum longidentatum is a species restricted to the Caatinga, an ecosystem with significant human disturbance and habitat fragmentation (Antongiovanni et al. 2018). Although this species has large EOO and number of locations, the continuing decline observed in its habitat and the projected risk of loss of suitable climate conditions for the Caatinga endemic species (Silva et al. 2019), suggest this species could be seriously threatened in the future. Thus, we consider C. longidentatum to merit a status of Near Threatened (NT)."
wfo-0001027155,"(IUCN 2019). Data Deficient (DD); known only from two collections of uncertain specific locality. Solanum comitis has not been re-collected since the early 19th century, indicating it is certainly of conservation concern. Recollection of this distinctive species and discovery of any precise localities for its occurrence are priorities."
wfo-1000029963,"IUCN (2022). Doselia huilensis is reaffirmed (following Orejuela et al. 2014) here as an endangered species (EN) according to criteria B1ab [i, iii] based on the small EOO (~750 km2), a small number of known populations, and the highly fragmented condition of the relictual forests where it occurs. The species is known from five collections from three localities. Two of these localities are in the Department of Huila 80 km apart, and one recent collection is known from the Valle del Sibundoy, Department of Putumayo, that extends the species distribution approximately 100 km to the south."
wfo-1000029961,"(IUCN 2022). Our data support the assessment of the species by Knapp et al. (2017) who considered D. epifita as vulnerable (VU) based on the criteria B1ab [iii]. Doselia epifita is known from a few collections in the Cordillera de los Guacamayos, the protected areas of Sumaco-Napo-Galeras and Sangay, areas near the city of Puyo in Ecuador, the Natural Reserve “La isla escondida” in Putumayo, and the surroundings of the Alto Fragua indiwasi National Park in Caquetá, Colombia. The biggest threat to the species is deforestation (Knapp et al. 2017)."
wfo-1000029962,"(IUCN 2022). Doselia galilensis is considered Data Deficient (DD) due to the small number of known populations. Based on our field observations, the biggest threat to the species is habitat loss due to agricultural expansion near the known localities. The situation has been alarming in the Galilea Forest during the last few years, with several direct threats to forest conservation such as agricultural expansion, unsustainable logging, and oil exploitation activities. Fortunately, the Galilea Forest has been recently declared as a protected area through the Corporación Autónoma Regional del Tolima (“CORTOLIMA” resolution 31 adopted on December 16, 2019). The Arcabuco oak forests in Boyacá do not, however, have any legal protection. It is unclear whether the new species remains in the area based on our unsuccessful attempt to collect D. galilensis in Arcabuco in 2019. The third population recently discovered in Santander is under the protection of the Proaves NGO in the natural reserve “Reinita Cielo Azul”."
wfo-1000029964,"(IUCN 2022). Doselia lopezii is classified as vulnerable (VU) according to the B1a criterion with an EOO of ca. 6,000 km2. The area where it is distributed is severely fragmented and the species is known from fewer than ten localities."
wfo-0001028021,"Least Concern [LC]. EOO = 338,395 km2 [LC]; AOO = 176 km2 [EN]. Solanum fragile is not common where it occurs but has a relatively wide distribution and does not appear to be habitat specific. It is found in the region of the Lake Titicaca Reserve in Peru and Bolivia but has not been specifically recorded within a protected area."
wfo-0001029074,"Least Concern (LC); The widespread distribution and abundant populations of S. lignescens give it an IUCN Red List Status of LC (Least Concern).
"
wfo-0001429592,"Near Threatened [NT]. EOO = 97,182 km2 [LC]; AOO = 80 km2 [EN]. Although the large extent of occurrence would suggest S. hunzikeri is not of conservation concern, the limited number of localities (<10), the specialised habitat and the disjunct distribution suggest the species should be considered as under some threat. Solanum hunzikeri occurs in a very restricted habitat in which there are few officially protected areas. In these landscapes the main threat to the ecosystem is over-grazing; the introduction of alien forage species has severely altered the nature of the high elevation foggy grasslands and forest edges in which S. hunzikeri occurs. Some populations are found in currently protected areas such as the Parque Nacional Aconquija, but these areas are considered too small and isolated to provide long term conservation (Brown 1995). Knapp et al. (2020) assigned a preliminary threat status of Vulnerable (VU, B2a,b(iii)) for S. hunzikeri. The exploration of these relatively inaccessible habitats in the area between the currently known populations of S. hunzikeri is a priority."
wfo-0001031065,"According to IUCN Red List criteria (IUCN, 2001), Solanum savannarum should be regarded as Least Concern (LC). Nine populations are known across a relatively wide geographic range, within a habitat probably exceeding 20,000 km<sup>2</sup>, although this habitat has suffered continuous reduction in size and quality (Klink & Machado, 2005).
"
wfo-0001026307,"Least Concern [LC]. EOO = 748,101 km2 [LC]; AOO = 164 km2 [EN]. Solanum arenicola grows in disturbed sites along rivers, tree falls, and cultivations where bare sandy soils are available, and its association with other pioneer species indicates that the species is not sensitive to human disturbance from expanding construction and agriculture. It occurs within protected areas in Peru (Parque Nacional Manu) and Bolivia (Parque Nacional Amboró)."
wfo-0001028353,"Solanum herculeum seems to be more common than either of its close relatives, but its narrow range and widespread habitat alteration in that range makes it of some conservation concern on a global scale."
wfo-0001027235,"The conservation status of S. cordicitum, according to the IUCN Red List Categories (IUCN 2010) is Data Deficient due to the low number of collections. Despite searching herbaria, including BRIT, NY, TAES, TAMU, TEX, US, and UTEP, and collection efforts near Valentine, Texas in 2010 and 2013, only three collections of S. cordicitum are known. The collection from the 2013 field season yielded seeds that will be grown in the MESA greenhouse to produce additional material to be distributed to herbaria. It is our hope that this species description will encourage further collecting in Jeff Davis County so that the status of S. cordicitum can be determined.
"
wfo-0001031880,"The species is endemic to the island of Madeira, and has only been found in the northern part of the island in laurel forest. Its restricted range and lack of known populations makes it of considerable conservation concern on a global scale. Solanum trisectum can be given a preliminary conservation assessment of Endangered (EN), using the IUCN Red List criteria. The instability of populations of this species (Francisco-Ortega et al. 1993) will make conservation difficult."
wfo-0001022276,"Lycianthes ceratocalycia is a species restricted to Guatemala and lands immediately adjacent in Chiapas that is known from only 10 locations, only one of which is from a protected area (Lagunas de Montebello, Mexico). The EOO is 2,169.823 km2, and the AOO is 40 km2. Following the IUCN (2019) criteria, the preliminary assessment category is Endangered (EN).
"
wfo-0001022333,"Lycianthes gongylodes is a rarely collected species of Guatemala, represented by only four collections, all made before 1970, and none from protected areas. The EOO is 43.078 km2, and the AOO is 12 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Critically Endangered (CR).
"
wfo-0001030265,"Least Concern [LC]. EOO = 1,233,243 km2 [LC]; AOO = 196 km2 [EN]. Solanum paucidens has a broad geographical distribution and is a weedy species of open areas and roadsides where it occurs. It occurs within protected areas in Argentina (e.g., Reserva Vida Silvestre Urugua-í in Misiones) and Brazil (e.g., Parque Nacional Itatiaia at the border of Minas Gerais, São Paulo and Rio de Janeiro, Parque Estadual Intervales in Santa Catarina, Parque Estadual Ibtipoca in Minas Gerais)."
wfo-0001030581,"Least Concern [LC]. EOO = 668,293 km2 [LC]; AOO = 180 km2 [EN]. Solanum pseudoamericanum, previously unrecognised as distinct from the widespread S. americanum, has been collected more often since its description, increasing the range and number of populations greatly. Solanum pseudoamericanum occurs in at least one protected area in Peru (e.g., Lomas de Lachay).
"
wfo-0001022221,"Lycianthes anomala is a Mexican endemic, represented by 20 collections, none of which are in protected areas. The EOO is 7,552.355 km2, and the AOO is 80 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Endangered (EN).
"
wfo-0001022330,"Lycianthes geminiflora is a species of threatened cloud forests of central and southern Mexico, represented by 55 collections, all collected outside of protected areas. The EOO is 39,209.944 km2, and the AOO is 200 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001022346,"Lycianthes heteroclita is a widespread species ranging from Mexico to Panama, represented by many collections. The EOO is 1,336,839.05 km2, and the AOO is 1,328 km2. Based on the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC).
"
wfo-0001027452,"Least Concern (LC); The widespread distribution and abundant populations of S. deflexum give it an IUCN Red List Status of LC (Least Concern).
"
wfo-0001030081,"Least Concern (LC); The widespread distribution and abundant populations of S. olympicum give it an IUCN Red List Status of LC (Least Concern).
"
wfo-0001032167,"The widespread distribution and abundant populations of S. turneroides give it an IUCN Red List Status of LC (Least Concern).
"
wfo-0001025754,"Least Concern (LC); While S. adscendens does not meet IUCN Red List qualifications for a Threatened or even Near Threatened species, it is still of some concern due to the limited geographic distribution and rapid conversion of land for grazing and farming in Rio Grande do Sul (IBGE 2010). It is advised that this species be monitored in the future, as it is uncertain how it will respond to land conversion.
"
wfo-0001027661,"Least Concern (LC); EOO >100,000 km2 (LC) and AOO >10,000 km2 (LC). See Moat (2007) for explanation of measurements.Solanum dulcamara has a circumboreal distribution and is very common so it is not of conservation concern. Peripheral populations such as those in eastern Russia, however, may harbour interesting genetic variation (see Knapp 2011).
"
wfo-0001030167,"According to the IUCN Red List Categories (IUCN 2010), S. pacificum is classified as B1a+3iii (Critically Endangered) and D2 (Vulnerable because of restricted area of occupancy). This species is restricted to lowland rainforest habitats of western Ecuador. This habitat type has suffered extreme degradation, and has been reduced from an estimated 32,000 km2 to ca. 1,500 km<sup>2</sup> (Dodson and Gentry 1991). The six known collections of S. pacificum are from a small portion of this area, and because of the extensive habitat destruction, it is possible that this species survives only within the 0.87 km2 Centro Científico Río Palenque.
"
wfo-0001029088,"According to the IUCN Red List Categories (IUCN 2010), S. limoncochaense is classified as B1a+biii (Critically endangered) and D2 (Vulnerable because of restricted area of occupancy). This species is only known from the terra firme forest near the northwest part of the Laguna de Limoncocha in western Ecuador. The four known collections of this species are all from this area, where it is quite common, but exploration of much of the Reserva Bioógica Limoncocha did not reveal any additional populations (E.J. Tepe, pers. obs.). There is also a continuing decline in suitable habitats in the area due to deforestation for additional oil exploration, and an increase in the local population resulting from oil-associated jobs (H. Moya, Reserva Bioógica Limoncocha, pers. comm.).
"
wfo-0001027378,"According to the IUCN Red List Categories (IUCN 2010), S. dalibardiforme is classified as D2 (Vulnerable). This species occupies a restricted area in the Cordillera Central in Colombia and is only known from three locations. Furthermore, S. dalibardiforme is only known from nine collections, suggesting that it is quite rare.
"
wfo-0001030311,"Least Concern (LC); a widespread species.
"
wfo-0001030342,"A common species; LC (Least Concern).
"
wfo-0001031864,"According to the IUCN Red List Categories (IUCN 2010), S. trifolium is classified as D2 (Vulnerable). The nine known collections of this species are from two to three closely clustered localities within a narrow elevational band (2,500-3,000 m) between San José de Chimbo and Chillanes, Bolívar Province, Ecuador. Solanum trifolium appears to be well suited to the disturbed habitats in the area, and has been collected in disturbed forest fragments, along roadsides, and in cow pastures. Nevertheless, it seems prudent to list it as vulnerable, because of the extremely narrow distribution of this species.
"
wfo-0001027770,"(IUCN 2016). LC (Least Concern). EOO = 298,812,730 km 2 (LC - Least Concern); AOO = 2,420 km 2 (NT – Near Threatened). Solanum elaeagnifolium is an invasive weed (see above) and is actively being eradicated in areas outside its native distribution. The low value for AOO is likely due to the low number of georeferenced collections."
wfo-0001029041,"Least Concern [LC]. EOO = 66,386 km2 [LC]; AOO = 120 km2 [EN]. The relatively wide distribution of S. leptocaulon does not suggest it is of immediate conservation concern, but pressure from mining and grazing in the high elevation grassy areas where it occurs may impact the species in the future. It occurs near protected areas in Bolivia (e.g., Parque Nacional Amboró, Parque Nacional Tunari and Parque Nacional Carrasco) but we have seen no collections from within the parks."
wfo-0001027948,"Least Concern [LC]. EOO = 1,079,092 km2 [LC]; AOO = 356 km2 [VU]. Solanum fiebrigii is widespread plant of disturbed areas; it occurs within protected areas in Argentina (e.g., Parque Nacional Calilegua)."
wfo-0001029746,"Solanum nava can be given a preliminary conservation assessment of Endangered (EN), using the IUCN Red List criteria. The instability of populations of this species (Francisco-Ortega et al. 1993) will make conservation difficult."
wfo-0001027812,"Vulnerable (VU – B2 a, b(iii), D2). EOO = 14,689 km2 [VU]; AOO = 92 km2 [EN]. Solanum enantiophyllanthum occurs in widely separated high elevation populations (< 5 locations) in the Serra do Mar of southeastern Brazil. Although it occurs in the protected area of Serra do Itatiaia at the junction of Rio de Janeiro, Minas Gerais and São Paulo States, we feel it merits some conservation concern because of its narrow range and the fact that it is not common where it occurs."
wfo-0001022216,"Lycianthesamatitlanensis is a widespread species ranging from eastern Mexico to Panama, represented by 48 collections and occurring in nine protected areas. The EOO is 687,839.069 km2, and the AOO is 192 km2. Following the IUCN (2019) criteria, the preliminary assessment category is Least Concern (LC)
"
wfo-0001026651,"(IUCN, 2013). Endangered (EN) B1; B2 ab (ii, iii, iv). The EOO and AOO calculated were 4, 076.04 km<sup>2</sup> and 48 km<sup>2</sup><sup> </sup>respectively resulting in the assessment of the Endangered category. The species is known from eight localities only, most of which are subject to urban expansion and deforestation due to tourism and agriculture. Although the species is known to occur in three protected areas [á;rea de Preserva&ccedil;ão Ambiental Serra da Mantiqueira (APA Mantiqueira), Parque Estadual de Campos do Jordão and Parque Nacional de Itatiaia] we suggest to maintain it as Endangered due to: the effectiveness of APAs in protecting the species is doubtful, the Parque Estadual de Campos do Jordão have considerable areas with exotic species, and both it and Parque Nacional do Itatiaia have considerable areas with habitats not suitable to Solanum bradei (such as outcrops and highland grassfields). Although Solanum bradei is known to grow on secondary fragments and in a wide elevation range, threats to it are clear, considering that the southern Mantiqueira range, where most collections are from, is situated between the two main urban centers in Brazil and has become a tourism hub. In addition, over the past few decades the montane forests and the highland fields of Mantiqueira have been increasingly converted to pastures, monocultures or urban centers.
"
wfo-0001028033,"(IUCN, 2013). Critically Endangered (CR) B1; B2 ab (iii, iv). Solanum friburgense is known from two localities closely situated to each other within the same municipality, that represents an AOO of 8 km2. The type specimen was collected in 1990 and despite an intensive inventory that was recently carried out in the area (Lima and Guedes-Bruni 1997), no additional collections were made until 2009. Although the EOO could not be calculated because only two points are available, if the species is actually endemic to Nova Friburgo and surroundings it would probably fit the Critically Endangered category (less than 100 km2 ). Even considering the occurrence within two conservation units and the paucity of material available for analysis, we provisionally suggest it to be assessed as Critically Endangered, regarding it seems to have a reproductive system based on vegetative propagation (see Discussion below). Within RPPN Bacchus two large populations are known (about 50 individuals), but no flowering specimens were observed in the field over three consecutive years (2009, 2010 and 2011).
"
wfo-0001026486,"(IUCN 2019). Least Concern (LC); EOO (1,244,077 km2), AOO (248 km2). Solanum barbisetum is widely distributed and is a plant of disturbed areas such as field and forest edges; the small AOO certainly reflects collection bias."
wfo-0001028883,"(IUCN, 2013). Endangered (EN) B2 ab (iii, iv). The species is known from two localities that are about 30 km away from each other with six points available. The calculated EOO was of 34.3 km2 what would led to the Critically Endangered category while the AOO of 20 km2 led to Endangered. We have chosen here to assign it to Endangered, a less severe category for three reasons: the species occurs in more than one location, it is known from within a effectively protected area (Parque Estadual do Ibitipoca), and the other location where it is found is somewhat remote. Nevertheless, Solanum kriegeri is from a very specific habitat in well-preserved forest fragments and monitoring its populations is strongly recommended. In light of the deforestation pressure surrounding the areas where it is found, we surmise that it might be restricted to its few known localities.
"
wfo-0001031270,"Least Concern (LC); a widespread and sometimes invasive weed.
"
wfo-0001027360,"(IUCN 2019). Least Concern (LC); EOO 3,563,723 km2 (LC), AOO 92 km2 (EN). Historical collections of Solanum cyanocarphium suggest that this species is widely distributed but absence of recent collections from large areas of the historical range suggests it may merit conservation concern because of the increasing anthropogenic alteration of natural habitat throughout lowland and coastal tropical Asia (Wikramanayake et al. 2002)."
wfo-0001030548,"(IUCN 2019). Least Concern (LC). EOO (1,191,003 km2, LC); AOO (68 km2, EN). Solanum praetermissum is widely distributed, but where we have seen it in the field, is in small populations, perhaps indicating further assessment is necessary."
wfo-0001031874,"Least Concern [LC]. EOO = 410,690 km2 [LC]; AOO = 564 km2 [EN]. Solanum tripartitum is a weedy plant of open areas and has a wide distribution. It has been collected in protected areas in Argentina (e.g., Humahuaca World Heritage site) and in the area of Parque Nacional Carrasco in Bolivia."
wfo-0001027881,"Endangered (EN) B1 a, b (i, ii, iii, iv). Solanum evolvuloides is known from only two localities, where the landscape has been strongly modified in the last decades due to the expansion of urban centers and extensive farming. The region has been focus of several surveys undertaken by the CEPEC group, in association with the New York Botanical Garden; despite this, only a few collections of this species have been made. Although one collection was made in a very disturbed area (Jardim 1843), the most recent collection is from a well-preserved forest fragment, and the species was not found in surrounding areas. There are no collections from within conservation units.
"
